Species,Population,Latitude,Longitude,Year_start,Year_end,Fly_number,Sex,Asymmetry_l2,Asymmetry_l3p,Asymmetry_l3d,Asymmetry_lpd,Asymmetry_l3,Asymmetry_w1,Asymmetry_w2,Asymmetry_w3
D._aldrichi,Binjour,-25.52,151.45,1994,1994,51,male,0.018,0.024,0.045,0.020,0.021,0.021,0.015,0.013
D._aldrichi,Binjour,-25.52,151.45,1994,1994,52,male,0.009,0.047,0.044,0.003,0.004,0.028,0.051,0.010
D._aldrichi,Binjour,-25.52,151.45,1994,1994,53,male,0.010,0.019,0.006,0.012,0.012,0.001,0.002,0.009
D._aldrichi,Binjour,-25.52,151.45,1994,1994,54,male,0.024,0.043,0.005,0.038,0.038,0.001,0.003,0.015
D._aldrichi,Binjour,-25.52,151.45,1994,1994,55,male,0.020,0.021,0.007,0.014,0.013,0.019,0.003,0.026
D._aldrichi,Binjour,-25.52,151.45,1994,1994,56,male,0.014,0.016,,,,0.004,0.012,0.006
D._aldrichi,Binjour,-25.52,151.45,1994,1994,57,male,0.014,0.026,0.013,0.013,0.014,0.032,0.045,0.028
D._aldrichi,Binjour,-25.52,151.45,1994,1994,58,male,0.008,0.022,0.086,0.062,0.064,0.008,0.010,0.009
D._aldrichi,Binjour,-25.52,151.45,1994,1994,59,male,0.047,0.013,0.045,0.057,0.058,0.010,0.003,0.027
D._aldrichi,Binjour,-25.52,151.45,1994,1994,60,male,0.021,0.014,0.051,0.064,0.063,0.002,0.008,0.015
D._aldrichi,Binjour,-25.52,151.45,1994,1994,61,male,0.009,0.010,0.009,0.000,0.002,0.010,0.013,0.013
D._aldrichi,Binjour,-25.52,151.45,1994,1994,62,male,0.028,0.002,0.003,0.001,0.001,0.013,0.002,0.002
D._aldrichi,Binjour,-25.52,151.45,1994,1994,63,male,0.006,0.015,0.024,0.010,0.009,0.011,0.006,0.007
D._aldrichi,Binjour,-25.52,151.45,1994,1994,64,male,0.001,0.032,0.056,0.025,0.025,0.011,0.005,0.013
D._aldrichi,Binjour,-25.52,151.45,1994,1994,65,male,0.033,0.017,0.009,0.026,0.026,0.005,0.015,0.021
D._aldrichi,Binjour,-25.52,151.45,1994,1994,66,male,0.024,0.004,0.023,0.026,0.027,0.002,0.003,0.011
D._aldrichi,Binjour,-25.52,151.45,1994,1994,67,male,0.006,0.014,0.004,0.011,0.012,0.007,0.003,0.022
D._aldrichi,Binjour,-25.52,151.45,1994,1994,68,male,0.029,0.011,0.003,0.014,0.013,0.001,0.002,0.013
D._aldrichi,Binjour,-25.52,151.45,1994,1994,69,male,0.022,0.006,0.035,0.040,0.040,0.007,0.017,0.014
D._aldrichi,Binjour,-25.52,151.45,1994,1994,70,male,0.021,0.006,0.028,0.034,0.034,0.001,0.003,0.011
D._aldrichi,Binjour,-25.52,151.45,1994,1994,71,male,0.015,0.006,0.010,0.004,0.004,0.000,0.004,0.002
D._aldrichi,Binjour,-25.52,151.45,1994,1994,72,male,0.008,,,,,0.029,0.020,0.014
D._aldrichi,Binjour,-25.52,151.45,1994,1994,73,male,0.045,0.040,0.009,0.031,0.032,0.004,0.011,0.008
D._aldrichi,Binjour,-25.52,151.45,1994,1994,74,male,0.020,0.023,0.024,0.047,0.048,0.034,0.047,0.011
D._aldrichi,Binjour,-25.52,151.45,1994,1994,75,male,0.021,0.007,0.002,0.008,0.008,0.002,0.000,0.012
D._aldrichi,Binjour,-25.52,151.45,1994,1994,76,male,0.045,0.040,0.002,0.040,0.039,0.011,0.027,0.024
D._aldrichi,Binjour,-25.52,151.45,1994,1994,77,male,0.028,0.017,0.022,0.039,0.037,0.002,0.001,0.017
D._aldrichi,Binjour,-25.52,151.45,1994,1994,78,male,0.016,0.004,0.046,0.042,0.040,0.001,0.015,0.001
D._aldrichi,Binjour,-25.52,151.45,1994,1994,79,male,0.005,0.000,0.041,0.041,0.042,0.021,0.008,0.040
D._aldrichi,Binjour,-25.52,151.45,1994,1994,80,male,0.002,0.015,,,,0.031,0.045,0.006
D._aldrichi,Binjour,-25.52,151.45,1994,1994,81,male,0.007,0.013,0.008,0.005,0.003,0.030,0.025,0.031
D._aldrichi,Binjour,-25.52,151.45,1994,1994,82,male,0.011,0.012,0.028,0.040,0.040,0.013,0.003,0.027
D._aldrichi,Binjour,-25.52,151.45,1994,1994,83,male,0.015,0.008,0.035,0.042,0.042,0.012,0.011,0.010
D._aldrichi,Binjour,-25.52,151.45,1994,1994,84,male,0.016,0.018,0.039,0.021,0.022,0.030,0.013,0.057
D._aldrichi,Binjour,-25.52,151.45,1994,1994,85,male,0.005,0.014,0.009,0.023,0.023,,,
D._aldrichi,Binjour,-25.52,151.45,1994,1994,86,male,0.012,0.010,0.032,0.023,0.024,0.002,0.007,0.016
D._aldrichi,Binjour,-25.52,151.45,1994,1994,87,male,0.011,0.009,,,,0.034,0.010,0.051
D._aldrichi,Binjour,-25.52,151.45,1994,1994,88,male,0.023,0.018,0.033,0.016,0.016,,,
D._aldrichi,Binjour,-25.52,151.45,1994,1994,89,male,0.053,0.041,0.003,0.038,0.038,0.008,0.014,0.025
D._aldrichi,Binjour,-25.52,151.45,1994,1994,90,male,0.005,0.007,,,,0.004,0.000,0.014
D._aldrichi,Binjour,-25.52,151.45,1994,1994,91,male,0.011,0.040,0.042,0.002,0.002,0.016,0.021,0.017
D._aldrichi,Binjour,-25.52,151.45,1994,1994,92,male,0.013,0.001,0.028,0.027,0.028,0.001,0.018,0.003
D._aldrichi,Binjour,-25.52,151.45,1994,1994,93,male,0.014,0.014,,,,0.019,0.010,0.037
D._aldrichi,Binjour,-25.52,151.45,1994,1994,94,male,0.040,0.021,0.005,0.015,0.017,0.021,0.015,0.038
D._aldrichi,Binjour,-25.52,151.45,1994,1994,95,male,0.040,0.024,0.005,0.029,0.029,0.032,0.039,0.003
D._aldrichi,Binjour,-25.52,151.45,1994,1994,96,male,0.036,0.003,0.015,0.017,0.019,0.013,0.010,0.030
D._aldrichi,Binjour,-25.52,151.45,1994,1994,97,male,0.007,0.008,0.042,0.049,0.049,0.014,0.005,0.029
D._aldrichi,Binjour,-25.52,151.45,1994,1994,98,male,0.003,0.003,0.019,0.015,0.013,0.012,0.005,0.036
D._aldrichi,Binjour,-25.52,151.45,1994,1994,99,male,0.011,0.000,0.021,0.021,0.023,0.012,0.002,0.004
D._buzzatii,Binjour,-25.52,151.45,1994,1994,0,female,0.013,0.004,0.030,0.026,0.025,0.044,0.038,0.030
D._buzzatii,Binjour,-25.52,151.45,1994,1994,1,female,0.013,0.076,0.058,0.016,0.017,0.027,0.024,0.011
D._buzzatii,Binjour,-25.52,151.45,1994,1994,2,female,0.004,0.005,0.006,0.011,0.012,0.020,0.016,0.026
D._buzzatii,Binjour,-25.52,151.45,1994,1994,3,female,0.049,0.067,0.045,0.021,0.021,0.028,0.036,0.007
D._buzzatii,Binjour,-25.52,151.45,1994,1994,4,female,0.009,0.001,0.021,0.024,0.024,0.067,0.057,0.030
D._buzzatii,Binjour,-25.52,151.45,1994,1994,5,female,0.027,0.036,0.052,0.015,0.018,0.016,0.034,0.001
D._buzzatii,Binjour,-25.52,151.45,1994,1994,6,female,0.014,0.036,0.044,0.008,0.008,0.023,0.037,0.007
D._buzzatii,Binjour,-25.52,151.45,1994,1994,7,female,0.034,0.003,0.001,0.001,0.001,0.015,0.009,0.038
D._buzzatii,Binjour,-25.52,151.45,1994,1994,8,female,0.001,0.042,0.059,0.017,0.019,0.052,0.051,0.033
D._buzzatii,Binjour,-25.52,151.45,1994,1994,9,female,0.052,0.050,0.004,0.045,0.045,,,
D._buzzatii,Binjour,-25.52,151.45,1994,1994,10,female,0.010,0.048,0.033,0.015,0.015,0.022,0.003,0.042
D._buzzatii,Binjour,-25.52,151.45,1994,1994,11,female,0.009,0.022,0.020,0.042,0.037,0.003,0.040,0.061
D._buzzatii,Binjour,-25.52,151.45,1994,1994,12,female,0.019,0.013,0.016,0.004,0.002,0.037,0.036,0.029
D._buzzatii,Binjour,-25.52,151.45,1994,1994,13,female,0.001,0.000,0.007,0.007,0.006,0.024,0.007,0.016
D._buzzatii,Binjour,-25.52,151.45,1994,1994,14,female,,0.011,0.008,0.019,0.021,,0.010,
D._buzzatii,Binjour,-25.52,151.45,1994,1994,15,female,0.004,0.047,0.026,0.021,0.022,0.015,0.000,0.016
D._buzzatii,Binjour,-25.52,151.45,1994,1994,16,female,0.025,0.001,0.031,0.031,0.033,0.043,0.051,0.026
D._buzzatii,Binjour,-25.52,151.45,1994,1994,17,female,0.030,0.003,0.001,0.002,0.005,0.010,0.003,0.009
D._buzzatii,Binjour,-25.52,151.45,1994,1994,18,female,0.023,0.056,0.007,0.063,0.063,0.019,0.034,0.029
D._buzzatii,Binjour,-25.52,151.45,1994,1994,19,female,0.079,0.038,0.003,0.035,0.036,0.039,0.017,0.015
D._buzzatii,Binjour,-25.52,151.45,1994,1994,20,female,0.127,0.070,0.019,0.051,0.050,0.037,0.009,0.018
D._buzzatii,Binjour,-25.52,151.45,1994,1994,21,female,0.034,0.026,0.021,0.047,0.048,0.043,0.017,0.037
D._buzzatii,Binjour,-25.52,151.45,1994,1994,22,female,,0.077,,,,,0.047,
D._buzzatii,Binjour,-25.52,151.45,1994,1994,23,female,0.021,0.026,0.019,0.007,0.007,0.007,0.026,0.002
D._buzzatii,Binjour,-25.52,151.45,1994,1994,24,female,0.054,0.021,0.012,0.033,0.032,0.003,0.001,0.029
D._buzzatii,Binjour,-25.52,151.45,1994,1994,25,female,0.025,0.055,,,,0.013,0.060,0.047
D._buzzatii,Binjour,-25.52,151.45,1994,1994,26,female,0.109,0.044,0.010,0.035,0.035,0.020,0.031,0.054
D._buzzatii,Binjour,-25.52,151.45,1994,1994,27,female,0.024,0.090,0.076,0.014,0.015,0.001,0.013,0.034
D._buzzatii,Binjour,-25.52,151.45,1994,1994,28,female,0.001,0.052,0.067,0.015,0.015,0.010,0.031,0.039
D._buzzatii,Binjour,-25.52,151.45,1994,1994,29,female,0.000,0.016,0.021,0.005,0.004,0.011,0.004,0.013
D._buzzatii,Binjour,-25.52,151.45,1994,1994,30,female,0.095,0.042,0.045,0.087,0.086,0.007,0.007,0.042
D._buzzatii,Binjour,-25.52,151.45,1994,1994,31,female,0.019,0.012,,,,0.027,0.025,0.052
D._buzzatii,Binjour,-25.52,151.45,1994,1994,32,female,0.001,0.037,0.014,0.022,0.024,0.001,0.012,0.021
D._buzzatii,Binjour,-25.52,151.45,1994,1994,33,female,0.030,0.004,0.018,0.022,0.020,0.013,0.001,0.030
D._buzzatii,Binjour,-25.52,151.45,1994,1994,34,female,0.039,0.012,0.017,0.005,0.005,0.010,0.037,0.041
D._buzzatii,Binjour,-25.52,151.45,1994,1994,35,female,0.090,0.028,0.038,0.066,0.066,0.014,0.008,0.016
D._buzzatii,Binjour,-25.52,151.45,1994,1994,36,female,0.000,0.011,0.010,0.020,0.020,0.004,0.009,0.019
D._buzzatii,Binjour,-25.52,151.45,1994,1994,37,female,0.064,0.000,0.002,0.002,0.001,0.022,0.010,0.014
D._buzzatii,Binjour,-25.52,151.45,1994,1994,38,female,0.005,0.005,0.029,0.034,0.035,0.043,0.058,0.153
D._buzzatii,Binjour,-25.52,151.45,1994,1994,39,female,0.038,0.027,0.022,0.005,0.004,0.008,0.029,0.002
D._buzzatii,Binjour,-25.52,151.45,1994,1994,40,female,0.052,0.006,0.020,0.014,0.015,0.007,0.012,0.001
D._buzzatii,Binjour,-25.52,151.45,1994,1994,41,female,0.103,0.005,,,,,,
D._buzzatii,Binjour,-25.52,151.45,1994,1994,42,female,,0.064,,,,,0.055,
D._buzzatii,Binjour,-25.52,151.45,1994,1994,43,female,0.005,0.030,0.052,0.022,0.021,0.015,0.043,0.002
D._buzzatii,Binjour,-25.52,151.45,1994,1994,44,female,0.023,0.110,0.084,0.026,0.027,0.045,0.036,0.042
D._buzzatii,Binjour,-25.52,151.45,1994,1994,45,female,0.014,0.031,,,,,,
D._buzzatii,Binjour,-25.52,151.45,1994,1994,46,female,0.009,0.024,0.015,0.009,0.013,,,
D._buzzatii,Binjour,-25.52,151.45,1994,1994,47,female,0.017,0.013,0.036,0.023,0.023,0.028,0.024,0.042
D._buzzatii,Binjour,-25.52,151.45,1994,1994,48,female,,,0.001,,,,,0.003
D._buzzatii,Binjour,-25.52,151.45,1994,1994,49,female,0.024,0.029,0.006,0.035,0.034,0.016,0.076,0.088
D._buzzatii,Binjour,-25.52,151.45,1994,1994,50,male,0.074,0.001,0.064,0.064,0.063,0.064,0.075,0.005
D._buzzatii,Binjour,-25.52,151.45,1994,1994,51,male,0.020,0.001,0.026,0.025,0.023,0.008,0.014,0.018
D._buzzatii,Binjour,-25.52,151.45,1994,1994,52,male,0.040,0.013,0.005,0.007,0.007,0.034,0.023,0.059
D._buzzatii,Binjour,-25.52,151.45,1994,1994,53,male,0.004,0.016,0.019,0.003,0.002,0.011,0.021,0.007
D._buzzatii,Binjour,-25.52,151.45,1994,1994,54,male,0.039,0.063,0.018,0.082,0.081,0.049,0.041,0.046
D._buzzatii,Binjour,-25.52,151.45,1994,1994,55,male,0.008,0.014,0.035,0.048,0.047,0.002,0.016,0.003
D._buzzatii,Binjour,-25.52,151.45,1994,1994,56,male,0.046,0.001,0.040,0.039,0.039,0.010,0.000,0.017
D._buzzatii,Binjour,-25.52,151.45,1994,1994,57,male,0.007,0.033,0.018,0.016,0.017,0.001,0.010,0.011
D._buzzatii,Binjour,-25.52,151.45,1994,1994,58,male,0.097,0.101,0.015,0.086,0.090,,,
D._buzzatii,Binjour,-25.52,151.45,1994,1994,59,male,0.040,0.069,0.002,0.066,0.064,0.043,0.043,0.042
D._buzzatii,Binjour,-25.52,151.45,1994,1994,60,male,0.015,0.027,0.084,0.057,0.056,0.019,0.011,0.043
D._buzzatii,Binjour,-25.52,151.45,1994,1994,61,male,0.060,0.035,0.065,0.030,0.030,0.002,0.008,0.062
D._buzzatii,Binjour,-25.52,151.45,1994,1994,62,male,0.017,0.041,0.049,0.009,0.011,0.022,0.019,0.006
D._buzzatii,Binjour,-25.52,151.45,1994,1994,63,male,0.052,0.029,0.024,0.052,0.051,0.041,0.059,0.006
D._buzzatii,Binjour,-25.52,151.45,1994,1994,64,male,0.051,0.071,0.014,0.057,0.055,0.022,0.007,0.033
D._buzzatii,Binjour,-25.52,151.45,1994,1994,65,male,0.025,0.011,0.003,0.007,0.007,0.047,0.018,0.047
D._buzzatii,Binjour,-25.52,151.45,1994,1994,66,male,0.018,0.017,0.032,0.015,0.017,0.043,0.044,0.025
D._buzzatii,Binjour,-25.52,151.45,1994,1994,67,male,0.015,0.024,0.026,0.002,0.002,0.010,0.033,0.037
D._buzzatii,Binjour,-25.52,151.45,1994,1994,68,male,0.074,0.022,0.017,0.039,0.041,0.055,0.034,0.018
D._buzzatii,Binjour,-25.52,151.45,1994,1994,69,male,0.068,0.018,0.007,0.025,0.026,0.010,0.029,0.028
D._buzzatii,Binjour,-25.52,151.45,1994,1994,70,male,0.006,0.041,0.017,0.025,0.028,0.052,0.037,0.082
D._buzzatii,Binjour,-25.52,151.45,1994,1994,71,male,0.034,0.014,0.146,0.132,0.137,0.032,0.074,0.003
D._buzzatii,Binjour,-25.52,151.45,1994,1994,72,male,0.000,0.023,0.014,0.009,0.010,0.012,0.013,0.038
D._buzzatii,Binjour,-25.52,151.45,1994,1994,73,male,0.005,0.053,0.036,0.017,0.016,0.005,0.001,0.016
D._buzzatii,Binjour,-25.52,151.45,1994,1994,74,male,0.046,0.004,0.013,0.017,0.016,0.028,0.024,0.022
D._buzzatii,Binjour,-25.52,151.45,1994,1994,75,male,0.054,0.081,0.083,0.002,0.002,0.001,0.021,0.049
D._buzzatii,Binjour,-25.52,151.45,1994,1994,76,male,0.050,0.035,0.003,0.031,0.031,0.034,0.034,0.058
D._buzzatii,Binjour,-25.52,151.45,1994,1994,77,male,0.027,0.065,0.032,0.032,0.029,0.063,0.058,0.022
D._buzzatii,Binjour,-25.52,151.45,1994,1994,78,male,0.037,0.009,0.018,0.009,0.009,0.061,0.006,0.069
D._buzzatii,Binjour,-25.52,151.45,1994,1994,79,male,0.024,0.024,0.035,0.010,0.013,0.045,0.073,0.016
D._buzzatii,Binjour,-25.52,151.45,1994,1994,80,male,0.031,0.056,0.021,0.036,0.034,0.017,0.037,0.020
D._buzzatii,Binjour,-25.52,151.45,1994,1994,81,male,,0.012,,,,,0.013,
D._buzzatii,Binjour,-25.52,151.45,1994,1994,82,male,0.039,0.029,0.079,0.049,0.039,0.016,0.012,0.046
D._buzzatii,Binjour,-25.52,151.45,1994,1994,83,male,0.042,0.009,0.026,0.034,0.026,0.043,0.031,0.075
D._buzzatii,Binjour,-25.52,151.45,1994,1994,84,male,0.013,0.018,0.035,0.017,0.017,0.010,0.009,0.032
D._buzzatii,Binjour,-25.52,151.45,1994,1994,85,male,0.003,0.001,0.001,0.000,0.002,0.008,0.037,0.004
D._buzzatii,Binjour,-25.52,151.45,1994,1994,86,male,0.038,0.025,0.021,0.005,0.002,0.051,0.011,0.031
D._buzzatii,Binjour,-25.52,151.45,1994,1994,87,male,0.001,0.012,0.005,0.007,0.006,0.012,0.034,0.010
D._buzzatii,Binjour,-25.52,151.45,1994,1994,88,male,0.011,0.010,0.050,0.060,0.062,0.044,0.064,0.028
D._buzzatii,Binjour,-25.52,151.45,1994,1994,89,male,0.041,0.060,0.057,0.003,0.004,0.003,0.009,0.048
D._buzzatii,Binjour,-25.52,151.45,1994,1994,90,male,0.016,0.034,0.067,0.033,0.033,0.020,0.005,0.078
D._buzzatii,Binjour,-25.52,151.45,1994,1994,91,male,0.027,0.021,0.035,0.055,0.056,0.033,0.047,0.001
D._buzzatii,Binjour,-25.52,151.45,1994,1994,92,male,0.073,0.053,0.003,0.049,0.050,0.018,0.005,0.031
D._buzzatii,Binjour,-25.52,151.45,1994,1994,93,male,0.069,0.030,,,,0.065,0.048,0.042
D._buzzatii,Binjour,-25.52,151.45,1994,1994,94,male,0.098,0.051,0.028,0.023,0.026,0.047,0.040,0.011
D._buzzatii,Binjour,-25.52,151.45,1994,1994,95,male,0.031,0.005,0.029,0.034,0.034,0.012,0.028,0.021
D._buzzatii,Binjour,-25.52,151.45,1994,1994,96,male,0.051,0.036,0.054,0.017,0.019,0.027,0.047,0.027
D._buzzatii,Binjour,-25.52,151.45,1994,1994,97,male,0.018,0.048,0.038,0.010,0.018,0.069,0.048,0.057
D._buzzatii,Binjour,-25.52,151.45,1994,1994,98,male,0.005,0.009,0.030,0.039,0.038,0.004,0.005,0.013
D._buzzatii,Binjour,-25.52,151.45,1994,1994,99,male,0.011,0.003,0.024,0.021,0.026,0.032,0.060,0.009
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,6,female,0.043,0.016,,,,,,
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,7,female,,0.056,0.010,0.046,0.044,,0.000,
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,0,male,0.019,0.052,0.034,0.018,0.019,0.023,0.057,0.018
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,1,male,0.010,0.004,0.011,0.014,0.016,0.008,0.009,0.008
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,2,male,0.020,0.026,0.001,0.027,0.027,0.005,0.022,0.009
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,3,male,0.002,0.015,0.019,0.005,0.005,0.026,0.011,0.028
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,4,male,0.021,0.014,0.034,0.019,0.020,0.016,0.014,0.001
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,5,male,0.037,0.026,0.011,0.016,0.016,0.010,0.002,0.005
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,0,female,0.059,0.035,0.027,0.010,0.009,0.015,0.021,0.011
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,1,female,0.013,0.012,0.008,0.020,0.019,0.013,0.009,0.019
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,2,female,0.002,0.000,0.021,0.021,0.021,0.008,0.003,0.010
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,3,female,0.020,0.024,0.044,0.018,0.019,0.016,0.002,0.007
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,4,female,0.051,0.051,0.004,0.055,0.058,0.009,0.056,0.024
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,5,female,0.058,0.011,0.019,0.030,0.030,0.011,0.031,0.045
