Species,Population,Latitude,Longitude,Year_start,Year_end,Fly_number,Sex,Asymmetry_l2,Asymmetry_l3p,Asymmetry_l3d,Asymmetry_lpd,Asymmetry_l3,Asymmetry_w1,Asymmetry_w2,Asymmetry_w3
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,6,female,0.012,0.025,0.027,0.001,0.003,0.004,0.020,0.015
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,7,female,0.012,0.019,0.016,0.002,0.003,0.045,0.026,0.064
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,8,female,0.015,0.083,0.071,0.011,0.012,,,
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,9,female,0.013,0.028,0.004,0.034,0.033,0.001,0.005,0.020
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,10,female,0.024,0.025,0.006,0.019,0.019,0.025,0.003,0.018
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,11,female,0.073,0.058,0.134,0.077,0.078,0.004,0.019,0.066
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,12,female,0.012,0.031,0.017,0.048,0.047,0.035,0.016,0.041
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,13,female,0.008,0.003,0.037,0.035,0.034,0.006,0.008,0.007
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,14,female,0.035,0.034,0.014,0.021,0.023,0.012,0.005,0.057
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,15,female,0.047,0.049,0.001,0.049,0.055,0.012,0.006,0.005
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,16,female,0.003,0.026,0.003,0.028,0.028,0.030,0.014,0.075
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,17,female,0.014,0.044,0.013,0.031,0.029,0.031,0.023,0.005
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,18,female,0.039,0.023,0.004,0.019,0.019,0.019,0.002,0.006
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,19,female,0.070,0.036,0.006,0.030,0.031,0.006,0.052,0.048
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,20,female,0.044,0.012,,,,,,
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,21,female,0.021,0.004,0.007,0.003,0.005,0.031,0.047,0.011
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,22,female,0.025,0.020,0.010,0.030,0.031,0.041,0.034,0.030
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,23,female,0.023,0.056,0.030,0.026,0.027,0.024,0.031,0.007
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,24,female,,,0.018,,,,,0.036
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,25,female,0.055,0.010,0.021,0.031,0.033,0.008,0.021,0.039
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,26,female,0.044,0.034,0.027,0.061,0.062,0.101,0.085,0.094
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,27,female,0.014,0.027,0.006,0.021,0.023,0.008,0.049,0.070
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,28,female,0.031,0.013,0.034,0.023,0.024,0.054,0.062,0.045
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,29,female,0.067,0.043,0.026,0.069,0.066,0.026,0.076,0.030
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,30,female,0.016,0.057,0.043,0.014,0.013,0.012,0.014,0.016
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,31,female,0.014,0.044,0.015,0.029,0.029,0.017,0.069,0.063
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,32,female,0.053,0.045,0.029,0.016,0.016,0.037,0.011,0.064
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,33,female,0.094,0.067,0.061,0.006,0.005,0.036,0.018,0.012
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,34,female,0.050,0.020,0.016,0.004,0.002,0.003,0.000,0.022
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,35,female,0.013,0.020,0.001,0.022,0.021,0.078,0.070,0.071
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,36,female,0.043,0.016,0.095,0.080,0.080,0.068,0.054,0.088
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,37,female,0.029,0.029,0.004,0.025,0.025,0.066,0.054,0.048
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,38,female,0.051,0.000,0.010,0.010,0.004,0.076,0.067,0.014
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,39,female,,0.031,0.025,0.056,0.055,,0.010,
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,40,female,0.013,0.021,0.027,0.006,0.006,0.035,0.021,0.059
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,41,female,0.088,0.034,0.036,0.069,0.072,0.038,0.023,0.015
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,42,female,0.033,0.008,0.052,0.044,0.041,0.033,0.003,0.060
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,43,female,0.002,0.020,0.007,0.012,0.014,0.009,0.030,0.017
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,44,female,0.036,0.025,0.029,0.004,0.003,0.005,0.021,0.042
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,45,female,0.062,0.026,0.059,0.084,0.083,0.020,0.006,0.025
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,46,female,0.037,0.046,0.061,0.107,0.107,0.031,0.041,0.016
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,47,female,0.061,0.050,0.001,0.050,0.051,0.041,0.122,0.029
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,48,female,0.047,0.015,0.006,0.021,0.022,0.017,0.010,0.037
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,49,female,0.090,0.014,0.061,0.075,0.073,0.027,0.061,0.025
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,50,male,0.047,0.022,0.025,0.047,0.048,0.014,0.019,0.003
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,51,male,0.040,0.037,0.034,0.003,0.002,0.003,0.014,0.008
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,52,male,0.044,0.007,0.056,0.049,0.048,0.020,0.003,0.026
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,53,male,0.006,0.019,0.009,0.011,0.008,0.006,0.027,0.016
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,54,male,0.024,0.030,0.020,0.049,0.050,0.016,0.012,0.007
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,55,male,0.013,0.011,0.006,0.016,0.016,0.010,0.022,0.014
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,56,male,0.010,0.019,,,,0.039,0.028,0.049
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,57,male,0.013,0.021,0.107,0.087,0.085,0.083,0.109,0.023
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,58,male,0.019,0.010,0.005,0.014,0.015,0.045,0.037,0.021
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,59,male,0.040,0.035,0.063,0.098,0.099,0.005,0.064,0.062
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,60,male,0.002,0.045,0.034,0.011,0.012,0.043,0.008,0.074
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,61,male,0.001,0.011,0.011,0.001,0.002,0.007,0.044,0.053
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,62,male,0.063,0.081,0.060,0.022,0.023,0.046,0.031,0.111
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,63,male,0.016,0.002,0.051,0.053,0.050,0.017,0.017,0.036
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,64,male,0.023,0.044,0.069,0.024,0.024,0.024,0.003,0.059
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,65,male,0.022,0.013,0.003,0.011,0.011,0.001,0.007,0.000
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,66,male,0.019,0.012,0.023,0.012,0.011,0.030,0.011,0.006
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,67,male,0.024,0.007,0.001,0.006,0.008,0.004,0.041,0.017
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,68,male,0.043,0.015,0.013,0.002,0.002,0.000,0.009,0.024
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,69,male,0.039,0.058,0.120,0.062,0.062,0.039,0.041,0.033
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,70,male,0.097,0.015,0.092,0.077,0.078,0.052,0.088,0.062
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,71,male,0.077,0.075,0.046,0.028,0.025,0.008,0.106,0.092
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,72,male,0.086,0.050,0.054,0.004,0.005,0.023,0.037,0.020
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,73,male,0.139,0.093,0.046,0.047,0.045,0.044,0.016,0.009
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,74,male,0.009,0.089,0.068,0.021,0.019,0.010,0.041,0.019
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,75,male,0.003,0.044,0.031,0.013,0.012,0.029,0.042,0.026
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,76,male,0.059,0.054,0.055,0.001,0.000,0.016,0.010,0.072
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,77,male,0.035,0.031,0.016,0.047,0.045,0.018,0.027,0.013
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,78,male,0.077,0.110,0.024,0.087,0.081,0.003,0.030,0.014
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,79,male,0.092,0.066,0.041,0.025,0.027,0.016,0.026,0.018
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,80,male,0.035,0.003,0.036,0.033,0.032,0.054,0.060,0.044
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,81,male,0.023,0.026,0.002,0.025,0.024,0.006,0.000,0.023
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,82,male,0.020,0.004,0.056,0.052,0.053,0.064,0.053,0.032
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,83,male,0.002,0.021,0.001,0.020,0.020,0.022,0.028,0.004
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,84,male,0.028,0.000,0.023,0.021,0.024,0.052,0.033,0.043
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,85,male,,,,,,,,
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,86,male,0.071,0.025,0.045,0.069,0.062,0.011,0.036,0.062
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,87,male,0.015,0.003,,,,0.049,0.044,0.010
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,88,male,0.034,0.066,0.028,0.093,0.094,0.003,0.010,0.023
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,89,male,0.027,0.012,0.016,0.029,0.027,0.015,0.042,0.021
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,90,male,0.031,0.020,0.010,0.031,0.031,0.005,0.005,0.005
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,91,male,0.065,0.027,0.035,0.008,0.008,0.051,0.024,0.115
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,92,male,0.020,0.022,0.000,0.022,0.021,0.003,0.004,0.028
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,93,male,0.014,0.051,0.052,0.001,0.001,0.041,0.034,0.043
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,94,male,0.028,0.013,0.003,0.010,0.012,0.013,0.001,0.016
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,95,male,0.039,0.078,0.075,0.003,0.012,0.004,0.029,0.036
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,96,male,0.000,0.007,0.067,0.060,0.063,0.009,0.013,0.015
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,97,male,0.051,0.025,0.002,0.024,0.021,0.049,0.027,0.083
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,98,male,,,,,,,,
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,99,male,0.019,0.027,0.045,0.018,0.018,0.027,0.007,0.035
D._aldrichi,Grandchester,-27.68,152.45,1994,1994,0,female,0.002,0.004,0.018,0.014,0.014,0.019,0.005,0.041
D._aldrichi,Grandchester,-27.68,152.45,1994,1994,1,female,0.017,0.015,0.023,0.008,0.008,0.009,0.029,0.026
D._aldrichi,Grandchester,-27.68,152.45,1994,1994,2,female,0.026,0.000,0.013,0.012,0.013,0.009,0.002,0.008
D._aldrichi,Grandchester,-27.68,152.45,1994,1994,3,male,,0.017,,,,,0.024,
D._aldrichi,Grandchester,-27.68,152.45,1994,1994,4,male,0.019,0.028,,,,0.022,0.022,0.025
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,0,female,0.019,0.058,0.098,0.040,0.041,0.010,0.084,0.062
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,1,female,0.027,0.022,0.013,0.009,0.008,0.016,0.082,0.019
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,2,female,0.055,0.023,0.025,0.048,0.046,0.062,0.101,0.057
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,3,female,0.074,0.061,0.041,0.020,0.020,0.010,0.052,0.021
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,4,female,,,,,,,,
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,5,female,0.037,0.012,0.012,0.000,0.000,0.023,0.026,0.071
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,6,female,0.006,0.000,0.034,0.034,0.036,0.007,0.002,0.010
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,7,female,0.048,0.028,0.016,0.010,0.011,0.032,0.042,0.061
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,8,female,0.106,0.081,0.048,0.130,0.132,0.013,0.056,0.015
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,9,female,0.043,0.003,0.057,0.054,0.055,0.027,0.003,0.079
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,10,female,0.013,0.018,0.068,0.049,0.051,0.065,0.059,0.023
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,11,female,0.029,0.038,0.019,0.020,0.020,0.058,0.031,0.050
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,12,female,0.060,0.024,0.013,0.037,0.037,0.046,0.048,0.036
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,13,female,0.092,0.063,0.014,0.050,0.050,0.035,0.014,0.003
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,14,female,0.011,0.024,0.019,0.041,0.039,0.067,0.091,0.010
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,15,female,0.029,0.016,0.032,0.047,0.045,0.002,0.021,0.044
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,16,female,0.004,0.005,0.024,0.029,0.029,,,
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,17,female,0.099,0.120,0.004,0.116,0.117,0.014,0.050,0.045
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,18,female,0.027,0.018,,,,0.028,0.038,0.064
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,19,female,0.123,0.102,0.004,0.098,0.099,0.020,0.028,0.004
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,20,female,0.039,0.008,,,,0.049,0.056,0.039
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,21,female,0.023,0.112,0.227,0.116,0.114,0.032,0.042,0.040
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,22,female,,,0.010,,,0.016,0.012,0.037
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,23,female,0.016,0.089,0.054,0.035,0.035,0.031,0.006,0.026
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,24,female,0.097,0.060,0.001,0.061,0.061,0.001,0.020,0.012
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,25,female,0.080,0.030,,,,0.005,0.045,0.004
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,26,female,0.006,0.016,,,,,,
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,27,female,0.053,0.046,0.030,0.017,0.017,0.033,0.049,0.012
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,28,female,0.001,0.022,0.021,0.001,0.003,,,
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,29,female,0.014,0.058,0.085,0.026,0.029,0.033,0.063,0.029
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,30,female,0.034,0.022,0.020,0.041,0.041,0.010,0.009,0.029
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,31,female,0.071,0.024,0.009,0.033,0.035,0.006,0.016,0.036
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,32,female,0.026,0.038,0.009,0.047,0.046,0.019,0.011,0.023
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,33,female,0.015,0.048,0.002,0.046,0.047,0.008,0.017,0.011
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,34,female,0.035,0.036,0.013,0.023,0.023,0.053,0.031,0.063
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,35,female,,0.018,,,,,0.088,
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,36,female,0.028,0.050,0.070,0.020,0.020,0.025,0.021,0.042
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,37,female,0.023,0.003,0.053,0.050,0.051,0.012,0.003,0.006
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,38,female,0.003,0.007,0.019,0.025,0.025,0.036,0.002,0.013
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,39,female,0.047,0.015,0.066,0.051,0.051,0.013,0.016,0.005
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,40,female,0.013,0.057,,,,0.001,0.031,0.010
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,41,female,0.013,0.017,0.007,0.009,0.012,0.068,0.040,0.043
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,42,female,0.068,0.037,0.072,0.036,0.031,0.049,0.046,0.033
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,43,female,0.083,0.070,0.062,0.008,0.008,0.019,0.029,0.016
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,44,female,0.019,0.034,0.069,0.037,0.036,0.072,0.082,0.061
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,45,female,0.010,0.038,0.090,0.051,0.051,0.010,0.022,0.008
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,46,female,0.048,0.080,0.130,0.050,0.051,0.032,0.067,0.011
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,47,female,0.037,0.043,0.002,0.046,0.045,0.020,0.030,0.013
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,48,female,0.032,0.131,0.100,0.031,0.032,0.027,0.025,0.019
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,49,female,0.056,0.011,0.000,0.012,0.011,0.042,0.010,0.026
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,50,male,0.062,0.026,0.005,0.023,0.019,0.036,0.036,0.052
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,51,male,0.047,0.069,0.072,0.003,0.002,0.001,0.003,0.016
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,52,male,0.017,0.053,0.047,0.006,0.006,0.003,0.011,0.035
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,53,male,0.049,0.082,0.022,0.105,0.104,0.005,0.032,0.034
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,54,male,0.002,0.001,,,,0.037,0.021,0.043
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,55,male,0.105,0.071,0.009,0.079,0.081,0.009,0.011,0.028
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,56,male,0.020,0.063,0.028,0.036,0.031,0.053,0.005,0.043
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,57,male,0.029,0.011,0.047,0.037,0.036,0.022,0.035,0.004
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,58,male,0.060,0.062,0.024,0.037,0.036,0.003,0.017,0.028
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,59,male,0.040,0.016,0.030,0.013,0.013,0.049,0.026,0.060
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,60,male,0.000,0.035,0.019,0.054,0.054,0.007,0.005,0.018
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,61,male,0.129,0.031,,,,0.083,0.030,0.031
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,62,male,0.083,0.061,0.057,0.004,0.007,0.027,0.070,0.026
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,63,male,0.009,0.024,,,,0.063,0.048,0.068
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,64,male,0.044,0.037,0.114,0.151,0.149,0.005,0.080,0.032
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,65,male,0.049,0.024,0.049,0.025,0.028,0.023,0.067,0.044
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,66,male,,,,,,,,
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,67,male,0.028,0.061,0.033,0.028,0.027,0.008,0.056,0.049
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,68,male,0.116,0.004,0.036,0.041,0.041,0.018,0.011,0.021
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,69,male,0.017,0.038,0.042,0.081,0.081,0.012,0.031,0.017
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,70,male,0.058,0.011,0.006,0.017,0.016,0.025,0.026,0.061
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,71,male,0.024,0.047,0.013,0.033,0.034,0.026,0.034,0.024
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,72,male,0.057,0.031,0.010,0.021,0.021,0.057,0.112,0.017
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,73,male,0.069,0.050,0.012,0.038,0.035,0.077,0.138,0.034
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,74,male,0.007,0.003,0.014,0.011,0.011,0.045,0.001,0.068
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,75,male,0.018,0.015,0.023,0.008,0.008,,,0.010
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,76,male,0.017,0.023,0.019,0.042,0.050,0.003,0.035,0.038
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,77,male,0.081,0.014,0.044,0.058,0.039,0.044,0.014,0.125
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,78,male,0.006,0.032,0.031,0.002,0.001,0.025,0.004,0.065
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,79,male,0.043,0.028,0.058,0.031,0.019,0.026,0.037,0.006
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,80,male,0.036,0.002,0.018,0.020,0.019,0.014,0.035,0.010
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,81,male,0.026,0.061,0.069,0.008,0.009,0.005,0.015,0.013
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,82,male,,,,,,,,
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,83,male,0.007,0.019,0.005,0.015,0.012,0.019,0.037,0.029
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,84,male,0.057,0.019,0.043,0.061,0.060,0.054,0.046,0.015
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,85,male,0.012,0.027,0.005,0.022,0.023,0.002,0.010,0.002
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,86,male,0.051,0.076,0.014,0.062,0.064,0.078,0.062,0.063
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,87,male,0.031,0.011,0.036,0.046,0.048,0.024,0.020,0.022
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,88,male,0.022,0.007,0.021,0.029,0.029,0.022,0.003,0.020
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,89,male,0.025,0.014,,,,0.017,0.029,0.024
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,90,male,0.044,0.014,0.037,0.052,0.050,0.013,0.042,0.010
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,91,male,0.026,0.026,0.022,0.004,0.004,0.033,0.032,0.011
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,92,male,0.027,0.002,0.031,0.033,0.031,,,
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,93,male,0.004,0.011,0.032,0.021,0.018,0.014,0.011,0.011
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,94,male,0.032,0.011,0.048,0.037,0.038,0.026,0.026,0.025
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,95,male,0.054,0.007,0.055,0.061,0.061,0.001,0.012,0.003
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,96,male,0.045,0.008,0.043,0.035,0.036,0.004,0.038,0.037
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,97,male,0.006,0.019,0.008,0.011,0.011,0.057,0.026,0.061
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,98,male,0.108,0.057,0.009,0.066,0.065,0.004,0.023,0.049
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,99,male,0.014,0.034,0.011,0.046,0.048,0.000,0.002,0.003
D._aldrichi,Oxford_Downs,-21.77,148.85,1994,1994,0,female,0.009,0.002,0.028,0.025,0.026,0.032,0.074,0.016
D._aldrichi,Oxford_Downs,-21.77,148.85,1994,1994,1,female,0.002,0.015,0.001,0.014,0.014,0.012,0.003,0.016
D._aldrichi,Oxford_Downs,-21.77,148.85,1994,1994,2,female,,,,,,,,
D._aldrichi,Oxford_Downs,-21.77,148.85,1994,1994,3,female,0.017,0.019,0.016,0.037,0.036,0.007,0.007,0.004
D._aldrichi,Oxford_Downs,-21.77,148.85,1994,1994,4,female,0.009,0.011,0.005,0.016,0.017,0.026,0.032,0.004
D._aldrichi,Oxford_Downs,-21.77,148.85,1994,1994,5,female,0.023,0.012,0.022,0.010,0.009,0.015,0.013,0.000
D._aldrichi,Oxford_Downs,-21.77,148.85,1994,1994,6,female,0.027,0.017,0.023,0.006,0.006,0.001,0.007,0.003
D._aldrichi,Oxford_Downs,-21.77,148.85,1994,1994,7,female,0.017,0.003,0.016,0.019,0.019,0.001,0.012,0.022
D._aldrichi,Oxford_Downs,-21.77,148.85,1994,1994,8,female,0.027,0.012,0.000,0.012,0.011,0.010,0.007,0.014
D._aldrichi,Oxford_Downs,-21.77,148.85,1994,1994,9,female,0.017,0.025,0.041,0.017,0.017,0.005,0.000,0.004
D._aldrichi,Oxford_Downs,-21.77,148.85,1994,1994,10,female,0.013,0.024,0.011,0.013,0.013,0.007,0.012,0.012
D._aldrichi,Oxford_Downs,-21.77,148.85,1994,1994,11,female,0.018,0.026,0.005,0.022,0.021,0.003,0.020,0.005
D._aldrichi,Oxford_Downs,-21.77,148.85,1994,1994,12,female,,0.015,0.010,0.006,0.005,,0.028,
D._aldrichi,Oxford_Downs,-21.77,148.85,1994,1994,13,female,0.046,0.036,,,,,,
D._aldrichi,Oxford_Downs,-21.77,148.85,1994,1994,14,female,0.021,0.015,0.007,0.008,0.008,0.019,0.014,0.036
D._aldrichi,Oxford_Downs,-21.77,148.85,1994,1994,15,female,0.003,0.037,,,,0.002,0.003,0.003
