Location,Latitude,Longitude,ID,Distance_to_coast,Altitude,Opuntia_species,Collection_year,Season,Nr._D._buzzatii,Nr._D._aldrichi,Nr._total,Proportion_D._aldrichi,Collection_notes,Collection_date,Locality_information
Tambar_Springs,-31.307,149.943,86,250,335,stricta,2002,S,76,0,76,0.0000,,27.3.02,about_11_km_from_turnoff_toCurlewis_-_1_km_N_of_town
Baradine,-30.945,149.067,85,345,380,tomentosa,2002,S,40,0,40,0.0000,,26.3.02,north_end_of_town_-_creek/reserve
Metz_Gorge,-30.579,151.889,70,105,630,stricta,2002,S,0,0,,,rots,18.3.02,25_km_from_Armidale
Hickey_Is,-29.434,153.357,82,0,5,stricta,2002,S,169,1,170,0.0059,,19.3.02,Yamba
Grandchester,-27.678,152.445,30,75,100,"stricta, tomentosa",2002,S,115,197,312,0.6314,,20.3.02,Eddie_&_Rose_Jackwitz_
Isla_Gorge,-25.247,149.941,72,230,350,tomentosa,2002,S,17,1318,1335,0.9873,,24.3.02,51_km_north_from_Taroom_P._O.
Gogango_Creek,-23.767,150.164,80,75,115,,2002,S,1,573,574,0.9983,,23.3.02,S_Westwood
Mulambin_Beach,-23.188,150.789,55,0,10,stricta,2002,S,18,585,603,0.9701,,22.3.02,10_km_south_of_Yeppoon
Borah,-28.922,149.395,71,375,165,stricta,,S,59,0,59,0.0000,,4.9,45_km_from_Mungindi_P._O.
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
