Population_Code,Population,,Latitude,Longitude,Year_start,Year_end,Altitude,Hibiscus_species,Year_start,Year_end,Sex,Sh8,Sh8,Sh8ii,Sh8ii,Sh9,Sh9,Sh13,Sh13,Sh34d,Sh34d,Sh36c,Sh36c,Sh38d,Sh38d,Sh48,Sh48,Sh49,Sh49,Sh72,Sh72,Sh74,Sh74,Sh78,Sh78,Sh81,Sh81,Sh88,Sh88,Sh89,Sh89,Sh90,Sh90,Sh94,Sh94
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,female,171,179,130,130,127,127,82,82,152,152,122,132,112,112,125,125,194,197,161,161,76,76,204,204,135,135,89,117,83,83,134,134,192,192
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,female,171,181,130,130,125,127,72,82,152,152,134,134,112,118,125,125,190,194,161,161,76,76,204,204,135,135,99,115,83,83,134,134,188,192
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,female,177,177,130,130,127,127,80,88,152,154,132,132,110,118,125,125,191,200,161,161,76,76,204,204,135,135,115,117,83,83,134,134,192,198
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,female,177,179,130,130,127,127,72,82,152,152,122,132,112,112,125,125,185,200,161,161,76,76,204,204,135,135,89,115,83,83,134,134,186,200
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,female,175,175,130,130,127,127,80,84,152,152,122,132,112,118,125,125,197,200,161,161,76,76,204,204,135,135,89,99,83,83,134,134,190,198
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,female,171,179,130,130,125,127,84,88,152,152,128,132,112,118,125,125,191,194,161,161,76,76,204,204,135,135,99,115,83,83,134,134,188,192
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,female,175,177,130,130,127,127,80,82,152,152,0,0,112,118,125,125,197,197,161,161,76,76,204,204,135,135,109,117,83,83,0,0,190,190
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,female,171,179,130,130,127,127,86,90,152,154,0,0,110,110,125,125,196,197,161,161,76,76,204,204,135,135,115,115,83,83,134,134,190,198
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,female,167,177,130,130,127,127,80,86,152,154,130,132,112,112,125,125,185,191,161,161,76,76,204,204,135,135,111,115,83,83,134,134,190,190
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,female,179,179,130,130,127,127,72,86,152,152,130,132,110,118,125,125,191,194,161,161,76,76,204,204,135,135,89,103,83,83,134,134,190,192
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,female,179,179,130,130,127,127,84,86,152,154,132,132,112,112,125,125,185,191,161,161,76,76,204,204,135,135,99,115,83,83,134,134,198,198
