Population,Latitude,Longitude,Year_start,Year_end,Sex ,Cross_Line,Line,Desiccation_resistance
Rockhampton,-23.400,150.48,2000,2000,female,Line,3,15.5
Rockhampton,-23.400,150.48,2000,2000,female,Line,3,17.5
Rockhampton,-23.400,150.48,2000,2000,female,Line,8,22.5
Rockhampton,-23.400,150.48,2000,2000,female,Line,8,20.5
Rockhampton,-23.400,150.48,2000,2000,female,Line,8,18.5
Rockhampton,-23.400,150.48,2000,2000,female,Line,8,20.5
Rockhampton,-23.400,150.48,2000,2000,female,Cross,28,16.5
Rockhampton,-23.400,150.48,2000,2000,female,Cross,28,17.5
Rockhampton,-23.400,150.48,2000,2000,female,Cross,28,13.5
Rockhampton,-23.400,150.48,2000,2000,female,Cross,28,20.5
Rockhampton,-23.400,150.48,2000,2000,female,Line,2,17.5
Rockhampton,-23.400,150.48,2000,2000,female,Line,2,13.5
Rockhampton,-23.400,150.48,2000,2000,female,Line,2,15.5
Rockhampton,-23.400,150.48,2000,2000,female,Line,14,21.5
Rockhampton,-23.400,150.48,2000,2000,female,Line,14,19.5
Rockhampton,-23.400,150.48,2000,2000,female,Line,14,17.5
Rockhampton,-23.400,150.48,2000,2000,female,Cross,26,14.5
Rockhampton,-23.400,150.48,2000,2000,female,Cross,26,15.5
Rockhampton,-23.400,150.48,2000,2000,female,Cross,26,11.5
Rockhampton,-23.400,150.48,2000,2000,female,Cross,26,16.5
Rockhampton,-23.400,150.48,2000,2000,female,Cross,30,18.5
Rockhampton,-23.400,150.48,2000,2000,female,Cross,30,27.5
Rockhampton,-23.400,150.48,2000,2000,female,Cross,30,23.5
Rockhampton,-23.400,150.48,2000,2000,female,Cross,30,17.5
Rockhampton,-23.400,150.48,2000,2000,female,Cross,22,18.5
Rockhampton,-23.400,150.48,2000,2000,female,Cross,22,15.5
Rockhampton,-23.400,150.48,2000,2000,female,Cross,22,13.5
Rockhampton,-23.400,150.48,2000,2000,female,Cross,22,14.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,8,12.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,8,8.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,11,7.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,2,12.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,4,12.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,2,11.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,4,12.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,2,10.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,2,6.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,11,6.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,11,12.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,11,12.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,4,12.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,4,10.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,3,10.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,3,11.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,3,13.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,3,10.5
Rockhampton,-23.400,150.48,2000,2000,male,Cross,30,11.5
Rockhampton,-23.400,150.48,2000,2000,male,Cross,30,14.5
Rockhampton,-23.400,150.48,2000,2000,male,Cross,30,10.5
Rockhampton,-23.400,150.48,2000,2000,male,Cross,30,10.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,8,8.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,8,11.5
Rockhampton,-23.400,150.48,2000,2000,male,Cross,26,8.5
Rockhampton,-23.400,150.48,2000,2000,male,Cross,26,7.5
Rockhampton,-23.400,150.48,2000,2000,male,Cross,26,10.5
Rockhampton,-23.400,150.48,2000,2000,male,Cross,26,7.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,14,9.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,14,12.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,14,11.5
Rockhampton,-23.400,150.48,2000,2000,male,Line,14,11.5
Rockhampton,-23.400,150.48,2000,2000,male,Cross,28,10.5
Rockhampton,-23.400,150.48,2000,2000,male,Cross,28,11.5
Rockhampton,-23.400,150.48,2000,2000,male,Cross,28,11.5
Rockhampton,-23.400,150.48,2000,2000,male,Cross,28,11.5
Rockhampton,-23.400,150.48,2000,2000,male,Cross,22,13.5
Rockhampton,-23.400,150.48,2000,2000,male,Cross,22,9.5
Rockhampton,-23.400,150.48,2000,2000,male,Cross,22,9.5
Rockhampton,-23.400,150.48,2000,2000,male,Cross,24,13.5
Rockhampton,-23.400,150.48,2000,2000,male,Cross,24,15.5
Rockhampton,-23.400,150.48,2000,2000,male,Cross,24,9.5
Rockhampton,-23.400,150.48,2000,2000,male,Cross,24,13.5
Rockhampton,-23.400,150.48,2000,2000,male,Cross,22,12.5
Gladstone,-23.880,151.26,2000,2000,female,Cross,65,21.5
Gladstone,-23.880,151.26,2000,2000,female,Cross,65,16.5
Gladstone,-23.880,151.26,2000,2000,female,Cross,65,25.5
Gladstone,-23.880,151.26,2000,2000,female,Cross,65,21.5
Gladstone,-23.880,151.26,2000,2000,male,Cross,65,9.5
Gladstone,-23.880,151.26,2000,2000,male,Cross,65,13.5
Gladstone,-23.880,151.26,2000,2000,male,Cross,65,13.5
Gladstone,-23.880,151.26,2000,2000,male,Cross,65,14.5
Gladstone,-23.883,151.26,2000,2000,female,Line,3,21.5
Gladstone,-23.883,151.26,2000,2000,female,Line,3,22.5
Gladstone,-23.883,151.26,2000,2000,female,Line,3,17.5
Gladstone,-23.883,151.26,2000,2000,female,Line,3,19.5
Gladstone,-23.883,151.26,2000,2000,female,Line,2,16.5
Gladstone,-23.883,151.26,2000,2000,female,Line,2,14.5
Gladstone,-23.883,151.26,2000,2000,female,Line,2,7.5
Gladstone,-23.883,151.26,2000,2000,female,Line,2,16.5
Gladstone,-23.883,151.26,2000,2000,female,Line,1,16.5
Gladstone,-23.883,151.26,2000,2000,female,Line,1,13.5
Gladstone,-23.883,151.26,2000,2000,female,Line,1,17.5
Gladstone,-23.883,151.26,2000,2000,female,Line,1,14.5
Gladstone,-23.883,151.26,2000,2000,male,Line,3,11.5
Gladstone,-23.883,151.26,2000,2000,male,Line,3,11.5
Gladstone,-23.883,151.26,2000,2000,male,Line,3,11.5
Gladstone,-23.883,151.26,2000,2000,male,Line,3,10.5
Gladstone,-23.883,151.26,2000,2000,male,Line,2,8.5
Gladstone,-23.883,151.26,2000,2000,male,Line,2,8.5
Gladstone,-23.883,151.26,2000,2000,male,Line,2,10.5
Gladstone,-23.883,151.26,2000,2000,male,Line,2,9.5
Gladstone,-23.883,151.26,2000,2000,male,Line,1,12.5
Gladstone,-23.883,151.26,2000,2000,male,Line,1,11.5
Gladstone,-23.883,151.26,2000,2000,male,Line,1,10.5
Gladstone,-23.883,151.26,2000,2000,male,Line,1,8.5
Miriamvale,-24.330,151.58,2000,2000,female,Cross,46,18.5
Miriamvale,-24.330,151.58,2000,2000,female,Cross,46,18.5
Miriam_Vale,-24.330,151.58,2000,2000,female,Cross,46,18.5
Miriam_Vale,-24.330,151.58,2000,2000,female,Cross,46,12.5
Miriam_Vale,-24.330,151.58,2000,2000,female,Cross,48,17.5
Miriam_Vale,-24.330,151.58,2000,2000,female,Cross,48,22.5
Miriam_Vale,-24.330,151.58,2000,2000,female,Cross,48,16.5
Miriam_Vale,-24.330,151.58,2000,2000,female,Cross,48,21.5
Miriam_Vale,-24.330,151.58,2000,2000,male,Cross,48,15.5
Miriam_Vale,-24.330,151.58,2000,2000,male,Cross,48,10.5
Miriam_Vale,-24.330,151.58,2000,2000,male,Cross,48,11.5
Miriam_Vale,-24.330,151.58,2000,2000,male,Cross,48,11.5
Miriam_Vale,-24.330,151.58,2000,2000,male,Cross,46,7.5
Miriam_Vale,-24.330,151.58,2000,2000,male,Cross,46,13.5
Miriam_Vale,-24.330,151.58,2000,2000,male,Cross,46,13.5
Miriam_Vale,-24.330,151.58,2000,2000,male,Cross,46,11.5
Miriam_Vale,-24.333,151.58,2000,2000,female,Line,2,19.5
Miriam_Vale,-24.333,151.58,2000,2000,female,Line,2,25.5
Miriam_Vale,-24.333,151.58,2000,2000,female,Line,2,17.5
Miriam_Vale,-24.333,151.58,2000,2000,female,Line,2,17.5
Miriam_Vale,-24.333,151.58,2000,2000,female,Line,17,20.5
Miriam_Vale,-24.333,151.58,2000,2000,female,Line,17,18.5
Miriam_Vale,-24.333,151.58,2000,2000,female,Line,17,22.5
Miriam_Vale,-24.333,151.58,2000,2000,female,Line,17,19.5
Miriam_Vale,-24.333,151.58,2000,2000,female,Line,12,15.5
Miriam_Vale,-24.333,151.58,2000,2000,female,Line,12,16.5
Miriam_Vale,-24.333,151.58,2000,2000,female,Line,12,18.5
Miriam_Vale,-24.333,151.58,2000,2000,female,Line,12,16.5
Miriam_Vale,-24.333,151.58,2000,2000,male,Line,17,15.5
Miriam_Vale,-24.333,151.58,2000,2000,male,Line,17,16.5
Miriam_Vale,-24.333,151.58,2000,2000,male,Line,17,12.5
Miriam_Vale,-24.333,151.58,2000,2000,male,Line,17,8.5
Miriam_Vale,-24.333,151.58,2000,2000,male,Line,12,13.5
Miriam_Vale,-24.333,151.58,2000,2000,male,Line,12,15.5
Miriam_Vale,-24.333,151.58,2000,2000,male,Line,12,12.5
Miriam_Vale,-24.333,151.58,2000,2000,male,Line,12,11.5
Miriam_Vale,-24.333,151.58,2000,2000,male,Line,2,11.5
Miriam_Vale,-24.333,151.58,2000,2000,male,Line,2,12.5
Miriam_Vale,-24.333,151.58,2000,2000,male,Line,2,14.5
Miriam_Vale,-24.333,151.58,2000,2000,male,Line,2,16.5
Maryborough,-25.367,152.69,2000,2000,female,Line,1,21.5
Maryborough,-25.367,152.69,2000,2000,female,Line,1,19.5
Maryborough,-25.367,152.69,2000,2000,female,Line,1,19.5
Maryborough,-25.367,152.69,2000,2000,female,Line,1,15.5
Maryborough,-25.367,152.69,2000,2000,female,Line,2,23.5
Maryborough,-25.367,152.69,2000,2000,female,Line,2,11.5
Maryborough,-25.367,152.69,2000,2000,female,Line,2,11.5
Maryborough,-25.367,152.69,2000,2000,female,Line,2,
Maryborough,-25.367,152.69,2000,2000,female,Line,3,11.5
Maryborough,-25.367,152.69,2000,2000,female,Line,3,14.5
Maryborough,-25.367,152.69,2000,2000,female,Line,3,
Maryborough,-25.367,152.69,2000,2000,female,Line,3,13.5
Maryborough,-25.367,152.69,2000,2000,female,Line,10,8.5
Maryborough,-25.367,152.69,2000,2000,female,Line,10,13.5
Maryborough,-25.367,152.69,2000,2000,female,Line,10,11.5
Maryborough,-25.367,152.69,2000,2000,female,Line,10,14.5
Maryborough,-25.367,152.69,2000,2000,female,Line,1,14.5
Maryborough,-25.367,152.69,2000,2000,female,Line,1,15.5
Maryborough,-25.367,152.69,2000,2000,female,Line,1,10.5
Maryborough,-25.367,152.69,2000,2000,female,Line,1,21.5
Maryborough,-25.367,152.69,2000,2000,female,Line,1,21.5
Maryborough,-25.367,152.69,2000,2000,female,Line,1,17.5
Maryborough,-25.367,152.69,2000,2000,female,Line,1,13.5
Maryborough,-25.367,152.69,2000,2000,female,Line,1,17.5
Maryborough,-25.367,152.69,2000,2000,male,Line,2,7.5
Maryborough,-25.367,152.69,2000,2000,male,Line,2,8.5
Maryborough,-25.367,152.69,2000,2000,male,Line,2,14.5
Maryborough,-25.367,152.69,2000,2000,male,Line,2,9.5
Maryborough,-25.367,152.69,2000,2000,male,Line,1,12.5
Maryborough,-25.367,152.69,2000,2000,male,Line,1,11.5
Maryborough,-25.367,152.69,2000,2000,male,Line,1,11.5
Maryborough,-25.367,152.69,2000,2000,male,Line,1,12.5
Maryborough,-25.367,152.69,2000,2000,male,Line,1,8.5
Maryborough,-25.367,152.69,2000,2000,male,Line,1,9.5
Maryborough,-25.367,152.69,2000,2000,male,Line,1,10.5
Maryborough,-25.367,152.69,2000,2000,male,Line,1,10.5
Maryborough,-25.367,152.69,2000,2000,male,Line,10,4.5
Maryborough,-25.367,152.69,2000,2000,male,Line,10,
Maryborough,-25.367,152.69,2000,2000,male,Line,10,6.5
Maryborough,-25.367,152.69,2000,2000,male,Line,10,11.5
Maryborough,-25.367,152.69,2000,2000,male,Line,3,16.5
Maryborough,-25.367,152.69,2000,2000,male,Line,3,10.5
Maryborough,-25.367,152.69,2000,2000,male,Line,3,12.5
Maryborough,-25.367,152.69,2000,2000,male,Line,3,11.5
Maryborough,-25.367,152.69,2000,2000,male,Line,3,8.5
Maryborough,-25.367,152.69,2000,2000,male,Line,2,9.5
Maryborough,-25.367,152.69,2000,2000,male,Line,2,10.5
Maryborough,-25.367,152.69,2000,2000,male,Line,2,8.5
Maryborough,-25.367,152.69,2000,2000,male,Line,2,9.5
Maryborough,-25.367,152.69,2000,2000,male,Line,1,11.5
Maryborough,-25.367,152.69,2000,2000,male,Line,1,9.5
Maryborough,-25.367,152.69,2000,2000,male,Line,1,10.5
Maryborough,-25.367,152.69,2000,2000,male,Line,1,13.5
Maryborough,-25.370,152.69,2000,2000,female,Cross,47,14.5
Maryborough,-25.370,152.69,2000,2000,female,Cross,47,19.5
Maryborough,-25.370,152.69,2000,2000,female,Cross,45,14.5
Maryborough,-25.370,152.69,2000,2000,female,Cross,47,12.5
Maryborough,-25.370,152.69,2000,2000,female,Cross,47,14.5
Maryborough,-25.370,152.69,2000,2000,female,Cross,45,17.5
Maryborough,-25.370,152.69,2000,2000,female,Cross,45,13.5
Maryborough,-25.370,152.69,2000,2000,female,Cross,45,13.5
Maryborough,-25.370,152.69,2000,2000,female,Cross,6,11.5
Maryborough,-25.370,152.69,2000,2000,female,Cross,6,7.5
Maryborough,-25.370,152.69,2000,2000,female,Cross,6,14.5
Maryborough,-25.370,152.69,2000,2000,female,Cross,6,9.5
Maryborough,-25.370,152.69,2000,2000,female,Cross,43,15.5
Maryborough,-25.370,152.69,2000,2000,female,Cross,43,14.5
Maryborough,-25.370,152.69,2000,2000,female,Cross,43,21.5
Maryborough,-25.370,152.69,2000,2000,female,Cross,43,16.5
Maryborough,-25.370,152.69,2000,2000,female,Cross,23,13.5
