Population,Latitude,Longitude,Year_start,Year_end,Altitude_class,Altitude,Replicate,sex,Wing_area,,,,,,,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,2,male,2.05,,,,,,,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,3,male,2.00,,,,,,,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,4,male,2.20,,,,,,,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,5,male,2.10,,,,,,,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,6,male,2.14,,,,,,,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,7,male,2.04,,,,,,,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,8,male,2.14,,,,,,,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,9,male,2.15,,,,,,,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,10,male,2.42,,,,,,,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,1,female,2.38,,,,,,,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,2,female,2.18,,,,,,,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,3,female,2.36,,,,,,,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,4,female,2.26,,,,,,,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,5,female,2.37,,,,,,,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,6,female,2.40,,,,,,,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,7,female,2.40,,,,,,,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,8,female,2.38,,,,,,,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,9,female,2.29,,,,,,,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,10,female,2.32,,,,,,,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,1,male,2.06,,,,,,,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,2,male,2.16,,,,,,,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,3,male,2.21,,,,,,,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,4,male,2.18,,,,,,,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,5,male,2.07,,,,,,,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,6,male,2.16,,,,,,,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,7,male,2.21,,,,,,,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,8,male,2.07,,,,,,,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,9,male,2.18,,,,,,,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,10,male,2.30,,,,,,,,,,,
Wollongong,-34.42,150.90,2002,2002,low,10,1,female,2.34,,,,,,,,,,,
Wollongong,-34.42,150.90,2002,2002,low,10,2,female,2.18,,,,,,,,,,,
Wollongong,-34.42,150.90,2002,2002,low,10,3,female,2.45,,,,,,,,,,,
Wollongong,-34.42,150.90,2002,2002,low,10,4,female,2.32,,,,,,,,,,,
Wollongong,-34.42,150.90,2002,2002,low,10,5,female,2.46,,,,,,,,,,,
Wollongong,-34.42,150.90,2002,2002,low,10,6,female,2.30,,,,,,,,,,,
Wollongong,-34.42,150.90,2002,2002,low,10,7,female,2.28,,,,,,,,,,,
Wollongong,-34.42,150.90,2002,2002,low,10,8,female,2.38,,,,,,,,,,,
Wollongong,-34.42,150.90,2002,2002,low,10,9,female,2.45,,,,,,,,,,,
Wollongong,-34.42,150.90,2002,2002,low,10,10,female,2.39,,,,,,,,,,,
Wollongong,-34.42,150.90,2002,2002,low,10,1,male,2.00,,,,,,,,,,,
Wollongong,-34.42,150.90,2002,2002,low,10,2,male,2.10,,,,,,,,,,,
Wollongong,-34.42,150.90,2002,2002,low,10,3,male,2.18,,,,,,,,,,,
Wollongong,-34.42,150.90,2002,2002,low,10,4,male,2.03,,,,,,,,,,,
Wollongong,-34.42,150.90,2002,2002,low,10,5,male,2.13,,,,,,,,,,,
Wollongong,-34.42,150.90,2002,2002,low,10,6,male,2.16,,,,,,,,,,,
Wollongong,-34.42,150.90,2002,2002,low,10,7,male,2.12,,,,,,,,,,,
Wollongong,-34.42,150.90,2002,2002,low,10,8,male,2.07,,,,,,,,,,,
Wollongong,-34.42,150.90,2002,2002,low,10,9,male,2.20,,,,,,,,,,,
Wollongong,-34.42,150.90,2002,2002,low,10,10,male,2.37,,,,,,,,,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,1,female,1.98,,,,,,,,,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,2,female,1.98,,,,,,,,,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,3,female,2.16,,,,,,,,,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,4,female,2.25,,,,,,,,,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,5,female,2.14,,,,,,,,,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,6,female,2.20,,,,,,,,,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,7,female,2.13,,,,,,,,,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,8,female,2.18,,,,,,,,,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,9,female,2.45,,,,,,,,,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,10,female,2.15,,,,,,,,,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,1,male,1.93,,,,,,,,,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,2,male,1.88,,,,,,,,,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,3,male,1.98,,,,,,,,,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,4,male,2.20,,,,,,,,,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,5,male,2.26,,,,,,,,,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,6,male,1.98,,,,,,,,,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,7,male,2.01,,,,,,,,,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,8,male,1.91,,,,,,,,,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,9,male,1.97,,,,,,,,,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,10,male,2.38,,,,,,,,,,,
Bega,-36.68,149.83,2002,2002,low,60,1,female,2.42,,,,,,,,,,,
Bega,-36.68,149.83,2002,2002,low,60,2,female,2.05,,,,,,,,,,,
Bega,-36.68,149.83,2002,2002,low,60,3,female,2.05,,,,,,,,,,,
Bega,-36.68,149.83,2002,2002,low,60,4,female,2.37,,,,,,,,,,,
Bega,-36.68,149.83,2002,2002,low,60,5,female,2.38,,,,,,,,,,,
Bega,-36.68,149.83,2002,2002,low,60,6,female,2.30,,,,,,,,,,,
Bega,-36.68,149.83,2002,2002,low,60,7,female,2.44,,,,,,,,,,,
Bega,-36.68,149.83,2002,2002,low,60,8,female,2.45,,,,,,,,,,,
Bega,-36.68,149.83,2002,2002,low,60,9,female,2.20,,,,,,,,,,,
Bega,-36.68,149.83,2002,2002,low,60,10,female,2.39,,,,,,,,,,,
Bega,-36.68,149.83,2002,2002,low,60,1,male,2.15,,,,,,,,,,,
Bega,-36.68,149.83,2002,2002,low,60,2,male,2.14,,,,,,,,,,,
Bega,-36.68,149.83,2002,2002,low,60,3,male,2.14,,,,,,,,,,,
Bega,-36.68,149.83,2002,2002,low,60,4,male,2.12,,,,,,,,,,,
Bega,-36.68,149.83,2002,2002,low,60,5,male,2.12,,,,,,,,,,,
Bega,-36.68,149.83,2002,2002,low,60,6,male,2.11,,,,,,,,,,,
Bega,-36.68,149.83,2002,2002,low,60,7,male,2.14,,,,,,,,,,,
Bega,-36.68,149.83,2002,2002,low,60,8,male,2.12,,,,,,,,,,,
Bega,-36.68,149.83,2002,2002,low,60,9,male,2.15,,,,,,,,,,,
Bega,-36.68,149.83,2002,2002,low,60,10,male,2.30,,,,,,,,,,,
