Population,Latitude,Longitude,Year_start,Year_end,Altitude_class,Altitude,Run,Vial,Cold_recovery_time
Kingscliff,-28.28,153.12,2002,2002,low,10,1,1,41
Kingscliff,-28.28,153.12,2002,2002,low,10,1,1,44
Kingscliff,-28.28,153.12,2002,2002,low,10,1,1,44
Kingscliff,-28.28,153.12,2002,2002,low,10,1,2,45
Kingscliff,-28.28,153.12,2002,2002,low,10,1,1,47
Kingscliff,-28.28,153.12,2002,2002,low,10,1,2,48
Kingscliff,-28.28,153.12,2002,2002,low,10,1,2,48
Kingscliff,-28.28,153.12,2002,2002,low,10,3,2,34
Kingscliff,-28.28,153.12,2002,2002,low,10,1,1,51
Kingscliff,-28.28,153.12,2002,2002,low,10,4,2,26
Kingscliff,-28.28,153.12,2002,2002,low,10,3,1,36
Kingscliff,-28.28,153.12,2002,2002,low,10,1,2,53
Kingscliff,-28.28,153.12,2002,2002,low,10,4,1,28
Kingscliff,-28.28,153.12,2002,2002,low,10,4,2,28
Kingscliff,-28.28,153.12,2002,2002,low,10,2,2,36
Kingscliff,-28.28,153.12,2002,2002,low,10,2,2,37
Kingscliff,-28.28,153.12,2002,2002,low,10,3,1,39
Kingscliff,-28.28,153.12,2002,2002,low,10,3,2,39
Kingscliff,-28.28,153.12,2002,2002,low,10,3,2,39
Kingscliff,-28.28,153.12,2002,2002,low,10,4,1,30
Kingscliff,-28.28,153.12,2002,2002,low,10,2,1,39
Kingscliff,-28.28,153.12,2002,2002,low,10,1,2,57
Kingscliff,-28.28,153.12,2002,2002,low,10,4,2,32
Kingscliff,-28.28,153.12,2002,2002,low,10,3,1,42
Kingscliff,-28.28,153.12,2002,2002,low,10,3,1,42
Kingscliff,-28.28,153.12,2002,2002,low,10,3,2,42
Kingscliff,-28.28,153.12,2002,2002,low,10,1,1,59
Kingscliff,-28.28,153.12,2002,2002,low,10,2,1,42
Kingscliff,-28.28,153.12,2002,2002,low,10,2,1,42
Kingscliff,-28.28,153.12,2002,2002,low,10,4,2,36
Kingscliff,-28.28,153.12,2002,2002,low,10,4,2,36
Kingscliff,-28.28,153.12,2002,2002,low,10,2,2,44
Kingscliff,-28.28,153.12,2002,2002,low,10,3,1,46
Kingscliff,-28.28,153.12,2002,2002,low,10,3,2,46
Kingscliff,-28.28,153.12,2002,2002,low,10,4,1,38
Kingscliff,-28.28,153.12,2002,2002,low,10,4,1,38
Kingscliff,-28.28,153.12,2002,2002,low,10,4,1,38
Kingscliff,-28.28,153.12,2002,2002,low,10,4,2,38
Kingscliff,-28.28,153.12,2002,2002,low,10,2,1,46
Kingscliff,-28.28,153.12,2002,2002,low,10,2,2,47
Kingscliff,-28.28,153.12,2002,2002,low,10,2,2,47
Kingscliff,-28.28,153.12,2002,2002,low,10,1,2,66
Kingscliff,-28.28,153.12,2002,2002,low,10,2,1,49
Kingscliff,-28.28,153.12,2002,2002,low,10,1,1,68
Kingscliff,-28.28,153.12,2002,2002,low,10,2,2,52
Kingscliff,-28.28,153.12,2002,2002,low,10,2,2,52
Kingscliff,-28.28,153.12,2002,2002,low,10,3,1,54
Kingscliff,-28.28,153.12,2002,2002,low,10,3,1,54
Kingscliff,-28.28,153.12,2002,2002,low,10,3,1,54
Kingscliff,-28.28,153.12,2002,2002,low,10,4,1,46
Kingscliff,-28.28,153.12,2002,2002,low,10,4,1,46
Kingscliff,-28.28,153.12,2002,2002,low,10,2,1,55
Kingscliff,-28.28,153.12,2002,2002,low,10,2,2,57
Kingscliff,-28.28,153.12,2002,2002,low,10,3,2,59
Kingscliff,-28.28,153.12,2002,2002,low,10,1,2,77
Kingscliff,-28.28,153.12,2002,2002,low,10,3,2,62
Kingscliff,-28.28,153.12,2002,2002,low,10,4,2,54
Kingscliff,-28.28,153.12,2002,2002,low,10,3,2,64
Kingscliff,-28.28,153.12,2002,2002,low,10,1,1,81
Kingscliff,-28.28,153.12,2002,2002,low,10,1,2,82
Kingscliff,-28.28,153.12,2002,2002,low,10,2,2,65
Kingscliff,-28.28,153.12,2002,2002,low,10,4,1,59
Kingscliff,-28.28,153.12,2002,2002,low,10,4,2,59
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,1,1,4
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,1,1,4
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,1,1,4
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,1,2,5
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,3,1,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,3,2,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,2,1,0
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,2,1,0
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,2,1,4
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,2,2,8
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,1,1,28
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,1,1,30
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,1,1,43
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,3,1,31
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,1,2,48
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,1,2,48
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,2,2,31
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,1,1,49
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,4,1,24
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,4,1,24
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,4,2,25
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,4,2,26
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,4,2,26
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,3,1,36
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,1,2,53
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,1,2,53
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,4,1,28
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,4,2,28
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,3,1,39
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,3,2,39
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,3,2,39
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,2,2,38
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,2,1,39
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,1,2,57
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,4,1,32
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,4,1,32
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,4,1,32
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,4,2,32
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,3,1,42
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,3,2,42
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,2,1,41
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,2,1,41
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,1,2,61
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,4,1,36
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,2,2,44
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,2,2,44
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,3,1,46
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,3,1,46
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,3,2,46
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,3,2,46
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,1,1,62
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,2,1,45
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,4,1,38
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,4,2,40
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,2,2,48
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,2,2,48
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,3,2,50
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,2,1,49
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,2,1,49
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,3,2,54
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,1,2,70
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,2,2,53
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,1,1,72
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,4,1,48
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,1,1,75
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,2,1,59
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,2,2,59
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,4,2,54
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,1,2,80
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,4,1,56
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,3,1,66
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,4,2,60
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,4,2,60
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,3,1,74
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,3,1,80
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,2,2,79
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,1,2,99
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,4,2,100
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,3,2,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,3,2,
Armidale,-30.52,151.68,2002,2002,high,1296,1,2,6
Armidale,-30.52,151.68,2002,2002,high,1296,2,1,0
Armidale,-30.52,151.68,2002,2002,high,1296,2,1,
Armidale,-30.52,151.68,2002,2002,high,1296,2,2,0
Armidale,-30.52,151.68,2002,2002,high,1296,2,2,
Armidale,-30.52,151.68,2002,2002,high,1296,1,2,20
Armidale,-30.52,151.68,2002,2002,high,1296,3,1,5
Armidale,-30.52,151.68,2002,2002,high,1296,3,1,8
Armidale,-30.52,151.68,2002,2002,high,1296,1,1,24
Armidale,-30.52,151.68,2002,2002,high,1296,4,1,0
Armidale,-30.52,151.68,2002,2002,high,1296,4,2,0
Armidale,-30.52,151.68,2002,2002,high,1296,4,2,0
Armidale,-30.52,151.68,2002,2002,high,1296,2,2,9
Armidale,-30.52,151.68,2002,2002,high,1296,4,2,2
Armidale,-30.52,151.68,2002,2002,high,1296,4,1,4
Armidale,-30.52,151.68,2002,2002,high,1296,4,2,6
Armidale,-30.52,151.68,2002,2002,high,1296,2,1,19
Armidale,-30.52,151.68,2002,2002,high,1296,1,1,41
Armidale,-30.52,151.68,2002,2002,high,1296,2,2,25
Armidale,-30.52,151.68,2002,2002,high,1296,1,2,43
Armidale,-30.52,151.68,2002,2002,high,1296,1,1,46
Armidale,-30.52,151.68,2002,2002,high,1296,4,1,24
Armidale,-30.52,151.68,2002,2002,high,1296,4,2,24
Armidale,-30.52,151.68,2002,2002,high,1296,3,1,34
Armidale,-30.52,151.68,2002,2002,high,1296,3,1,34
Armidale,-30.52,151.68,2002,2002,high,1296,3,2,34
Armidale,-30.52,151.68,2002,2002,high,1296,2,1,33
Armidale,-30.52,151.68,2002,2002,high,1296,3,1,36
Armidale,-30.52,151.68,2002,2002,high,1296,3,1,36
Armidale,-30.52,151.68,2002,2002,high,1296,3,1,36
Armidale,-30.52,151.68,2002,2002,high,1296,2,2,35
