Region,Population,Latitude,Longitude,Year_start,Year_end,Number_of_females,Total_number_offspring,Number_of_offspring_per_female,Maximum_number_of_offspring_per_female
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,567,189.0,267
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,1,46,46.0,46
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,86,43.0,80
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,219,43.8,179
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,194,64.7,124
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,266,66.5,113
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,73,24.3,58
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,192,96.0,189
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,364,91.0,242
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,192,64.0,144
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,326,163.0,297
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,244,48.8,119
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,644,128.8,274
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,214,71.3,123
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,382,127.3,191
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,564,112.8,295
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,217,72.3,92
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,398,99.5,163
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,254,50.8,143
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,580,193.3,209
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,5,489,97.8,203
Southern,Sorell,-42.77,147.57,2005,2005,2,33,16.5,21
Southern,Sorell,-42.77,147.57,2005,2005,2,102,51.0,92
Southern,Sorell,-42.77,147.57,2005,2005,4,261,65.3,183
Southern,Sorell,-42.77,147.57,2005,2005,4,519,129.8,234
Southern,Sorell,-42.77,147.57,2005,2005,1,9,9.0,9
Southern,Sorell,-42.77,147.57,2005,2005,4,500,125.0,164
Southern,Sorell,-42.77,147.57,2005,2005,5,705,141.0,243
Southern,Sorell,-42.77,147.57,2005,2005,5,158,31.6,78
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,3,183,61.0,140
Southern,Sorell,-42.77,147.57,2005,2005,5,364,72.8,177
Southern,Sorell,-42.77,147.57,2005,2005,4,118,29.5,58
Southern,Sorell,-42.77,147.57,2005,2005,5,593,118.6,240
Southern,Sorell,-42.77,147.57,2005,2005,2,321,160.5,244
Southern,Sorell,-42.77,147.57,2005,2005,5,387,77.4,148
Southern,Sorell,-42.77,147.57,2005,2005,3,289,96.3,165
Southern,Sorell,-42.77,147.57,2005,2005,5,537,107.4,221
Southern,Sorell,-42.77,147.57,2005,2005,5,97,19.4,69
Southern,Sorell,-42.77,147.57,2005,2005,3,63,21.0,50
Southern,Sorell,-42.77,147.57,2005,2005,4,233,58.3,186
Southern,Sorell,-42.77,147.57,2005,2005,4,311,77.8,212
Southern,Sorell,-42.77,147.57,2005,2005,3,330,110.0,187
Southern,Sorell,-42.77,147.57,2005,2005,5,567,113.4,304
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,5,401,80.2,239
Southern,Sorell,-42.77,147.57,2005,2005,3,239,79.7,143
Southern,Sorell,-42.77,147.57,2005,2005,5,454,90.8,127
Southern,Sorell,-42.77,147.57,2005,2005,4,333,83.3,223
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,3,270,90.0,159
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,3,76,25.3,28
Southern,Sorell,-42.77,147.57,2005,2005,2,173,86.5,116
Southern,Sorell,-42.77,147.57,2005,2005,3,141,47.0,84
Southern,Sorell,-42.77,147.57,2005,2005,3,424,141.3,152
Southern,Sorell,-42.77,147.57,2005,2005,0,193,,
Southern,Sorell,-42.77,147.57,2005,2005,4,462,115.5,215
Southern,Sorell,-42.77,147.57,2005,2005,3,238,79.3,122
Southern,Sorell,-42.77,147.57,2005,2005,3,196,65.3,178
Southern,Sorell,-42.77,147.57,2005,2005,1,22,22.0,22
Southern,Sorell,-42.77,147.57,2005,2005,3,161,53.7,92
Southern,Sorell,-42.77,147.57,2005,2005,3,254,84.7,170
Southern,Sorell,-42.77,147.57,2005,2005,2,132,66.0,128
Southern,Sorell,-42.77,147.57,2005,2005,3,121,40.3,69
Southern,Sorell,-42.77,147.57,2005,2005,2,176,88.0,131
Southern,Sorell,-42.77,147.57,2005,2005,3,70,23.3,54
Southern,Sorell,-42.77,147.57,2005,2005,5,277,55.4,109
Southern,Sorell,-42.77,147.57,2005,2005,3,237,79.0,122
Southern,Sorell,-42.77,147.57,2005,2005,2,92,46.0,89
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,3,405,135.0,286
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,1,176,176.0,176
Southern,Sorell,-42.77,147.57,2005,2005,3,303,101.0,181
Southern,Sorell,-42.77,147.57,2005,2005,4,360,90.0,144
Southern,Sorell,-42.77,147.57,2005,2005,4,265,66.3,79
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,4,298,74.5,150
Southern,Sorell,-42.77,147.57,2005,2005,5,492,98.4,163
Southern,Sorell,-42.77,147.57,2005,2005,3,491,163.7,287
Southern,Sorell,-42.77,147.57,2005,2005,2,241,120.5,210
Southern,Sorell,-42.77,147.57,2005,2005,4,511,127.8,181
Southern,Sorell,-42.77,147.57,2005,2005,5,241,48.2,89
Southern,Sorell,-42.77,147.57,2005,2005,4,298,74.5,140
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,3,196,65.3,115
Southern,Sorell,-42.77,147.57,2005,2005,2,190,95.0,159
Southern,Sorell,-42.77,147.57,2005,2005,3,346,115.3,173
Southern,Sorell,-42.77,147.57,2005,2005,2,363,181.5,250
Southern,Sorell,-42.77,147.57,2005,2005,5,457,91.4,185
Southern,Sorell,-42.77,147.57,2005,2005,1,3,3.0,3
Southern,Sorell,-42.77,147.57,2005,2005,4,501,125.3,180
Southern,Sorell,-42.77,147.57,2005,2005,5,478,95.6,255
Southern,Sorell,-42.77,147.57,2005,2005,4,552,138.0,353
Southern,Sorell,-42.77,147.57,2005,2005,5,426,85.2,217
Southern,Sorell,-42.77,147.57,2005,2005,2,194,97.0,192
Southern,Sorell,-42.77,147.57,2005,2005,3,60,20.0,58
Southern,Sorell,-42.77,147.57,2005,2005,4,383,95.8,163
Southern,Sorell,-42.77,147.57,2005,2005,3,117,39.0,69
Southern,Sorell,-42.77,147.57,2005,2005,2,328,164.0,190
Southern,Sorell,-42.77,147.57,2005,2005,1,9,9.0,9
Southern,Sorell,-42.77,147.57,2005,2005,3,305,101.7,216
Southern,Sorell,-42.77,147.57,2005,2005,5,685,137.0,426
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,3,116,38.7,80
Southern,Sorell,-42.77,147.57,2005,2005,4,535,133.8,242
Southern,Sorell,-42.77,147.57,2005,2005,3,440,146.7,230
Southern,Sorell,-42.77,147.57,2005,2005,2,117,58.5,107
Southern,Sorell,-42.77,147.57,2005,2005,4,360,90.0,125
Southern,Sorell,-42.77,147.57,2005,2005,4,166,41.5,109
Southern,Sorell,-42.77,147.57,2005,2005,4,120,30.0,55
Southern,Sorell,-42.77,147.57,2005,2005,1,57,57.0,57
Southern,Sorell,-42.77,147.57,2005,2005,3,30,10.0,15
Southern,Sorell,-42.77,147.57,2005,2005,3,231,77.0,116
Southern,Sorell,-42.77,147.57,2005,2005,5,266,53.2,132
Southern,Sorell,-42.77,147.57,2005,2005,5,418,83.6,163
Southern,Sorell,-42.77,147.57,2005,2005,4,456,114.0,216
Southern,Sorell,-42.77,147.57,2005,2005,4,264,66.0,140
Southern,Sorell,-42.77,147.57,2005,2005,5,527,105.4,265
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,3,179,59.7,64
Southern,Sorell,-42.77,147.57,2005,2005,4,104,26.0,43
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,5,401,80.2,154
Southern,Sorell,-42.77,147.57,2005,2005,4,212,53.0,112
Southern,Sorell,-42.77,147.57,2005,2005,4,148,37.0,91
Southern,Sorell,-42.77,147.57,2005,2005,5,393,78.6,232
Southern,Sorell,-42.77,147.57,2005,2005,5,364,72.8,174
Southern,Sorell,-42.77,147.57,2005,2005,4,50,12.5,37
Southern,Sorell,-42.77,147.57,2005,2005,2,186,93.0,135
Southern,Sorell,-42.77,147.57,2005,2005,3,102,34.0,70
Southern,Sorell,-42.77,147.57,2005,2005,5,281,56.2,197
Southern,Sorell,-42.77,147.57,2005,2005,5,670,134.0,268
Southern,Sorell,-42.77,147.57,2005,2005,5,358,71.6,213
Southern,Sorell,-42.77,147.57,2005,2005,4,366,91.5,229
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,5,261,52.2,88
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,4,233,58.3,123
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,4,242,60.5,112
Southern,Sorell,-42.77,147.57,2005,2005,5,445,89.0,183
Southern,Sorell,-42.77,147.57,2005,2005,4,426,106.5,212
Southern,Sorell,-42.77,147.57,2005,2005,5,397,79.4,113
Southern,Sorell,-42.77,147.57,2005,2005,4,274,68.5,109
Southern,Sorell,-42.77,147.57,2005,2005,3,149,49.7,139
Southern,Sorell,-42.77,147.57,2005,2005,4,436,109.0,234
Southern,Sorell,-42.77,147.57,2005,2005,1,2,2.0,2
Southern,Sorell,-42.77,147.57,2005,2005,3,136,45.3,53
Southern,Sorell,-42.77,147.57,2005,2005,5,759,151.8,354
Southern,Sorell,-42.77,147.57,2005,2005,4,221,55.3,153
Southern,Sorell,-42.77,147.57,2005,2005,4,655,163.8,244
Southern,Sorell,-42.77,147.57,2005,2005,4,389,97.3,170
Southern,Sorell,-42.77,147.57,2005,2005,5,394,78.8,241
Southern,Sorell,-42.77,147.57,2005,2005,3,146,48.7,73
Southern,Sorell,-42.77,147.57,2005,2005,4,494,123.5,227
Southern,Sorell,-42.77,147.57,2005,2005,1,114,114.0,114
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,3,75,25.0,59
Southern,Sorell,-42.77,147.57,2005,2005,5,406,81.2,173
Southern,Sorell,-42.77,147.57,2005,2005,3,408,136.0,261
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,4,395,98.8,222
Southern,Sorell,-42.77,147.57,2005,2005,5,126,25.2,31
Southern,Sorell,-42.77,147.57,2005,2005,4,368,92.0,166
Southern,Sorell,-42.77,147.57,2005,2005,5,447,89.4,164
Southern,Sorell,-42.77,147.57,2005,2005,4,453,113.3,192
Southern,Sorell,-42.77,147.57,2005,2005,3,364,121.3,176
Southern,Sorell,-42.77,147.57,2005,2005,4,412,103.0,113
Southern,Sorell,-42.77,147.57,2005,2005,4,158,39.5,79
Southern,Sorell,-42.77,147.57,2005,2005,2,157,78.5,147
Southern,Sorell,-42.77,147.57,2005,2005,2,19,9.5,17
Southern,Sorell,-42.77,147.57,2005,2005,5,440,88.0,168
Southern,Sorell,-42.77,147.57,2005,2005,4,337,84.3,135
Southern,Sorell,-42.77,147.57,2005,2005,4,194,48.5,63
Southern,Sorell,-42.77,147.57,2005,2005,4,228,57.0,125
Southern,Sorell,-42.77,147.57,2005,2005,1,52,52.0,52
Southern,Sorell,-42.77,147.57,2005,2005,5,529,105.8,214
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,3,176,58.7,67
Southern,Sorell,-42.77,147.57,2005,2005,5,269,53.8,120
Southern,Sorell,-42.77,147.57,2005,2005,4,310,77.5,123
Southern,Sorell,-42.77,147.57,2005,2005,3,64,21.3,62
Southern,Sorell,-42.77,147.57,2005,2005,2,51,25.5,47
Southern,Sorell,-42.77,147.57,2005,2005,2,74,37.0,69
Southern,Sorell,-42.77,147.57,2005,2005,1,25,25.0,25
Southern,Sorell,-42.77,147.57,2005,2005,3,93,31.0,49
Southern,Sorell,-42.77,147.57,2005,2005,5,298,59.6,103
Southern,Sorell,-42.77,147.57,2005,2005,3,179,59.7,109
Southern,Sorell,-42.77,147.57,2005,2005,2,44,22.0,41
Southern,Sorell,-42.77,147.57,2005,2005,4,123,30.8,90
Southern,Sorell,-42.77,147.57,2005,2005,4,204,51.0,153
Southern,Sorell,-42.77,147.57,2005,2005,5,447,89.4,212
Southern,Sorell,-42.77,147.57,2005,2005,5,281,56.2,148
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,5,812,162.4,259
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,4,508,127.0,239
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,4,228,57.0,90
Southern,Sorell,-42.77,147.57,2005,2005,4,436,109.0,189
Southern,Sorell,-42.77,147.57,2005,2005,5,444,88.8,170
Southern,Sorell,-42.77,147.57,2005,2005,5,586,117.2,305
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,3,181,60.3,125
Southern,Sorell,-42.77,147.57,2005,2005,3,211,70.3,164
Southern,Sorell,-42.77,147.57,2005,2005,2,133,66.5,121
Southern,Sorell,-42.77,147.57,2005,2005,4,472,118.0,296
Southern,Sorell,-42.77,147.57,2005,2005,0,0,,
Southern,Sorell,-42.77,147.57,2005,2005,3,126,42.0,116
Southern,Sorell,-42.77,147.57,2005,2005,5,351,70.2,135
Southern,Sorell,-42.77,147.57,2005,2005,2,103,51.5,94
Southern,Sorell,-42.77,147.57,2005,2005,5,349,69.8,156
Southern,Sorell,-42.77,147.57,2005,2005,2,162,81.0,160
Southern,Sorell,-42.77,147.57,2005,2005,5,246,49.2,122
Southern,Sorell,-42.77,147.57,2005,2005,4,346,86.5,135
Southern,Sorell,-42.77,147.57,2005,2005,5,525,105.0,194
