Region,Population,Latitude,Longitude,Year_start,Year_end,Productivity,Wing_centroid_size
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.53
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.49
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.48
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.49
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.41
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.48
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.48
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.50
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.43
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.44
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.48
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.50
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.56
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.43
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.48
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.44
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.43
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.47
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.47
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.42
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.44
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.43
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.35
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.41
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.45
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.43
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.45
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.56
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.50
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.44
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.44
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.43
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.39
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.42
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.53
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.47
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.47
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,Low,1.44
