Population,Latitude,Longitude,Year_start,Year_end,10/06/2000,13/06/2000,16/06/2000,20/06/2000,23/06/2000,27/06/2000,30/06/2000,4/07/2000,7/07/2000,11/07/2000,14/07/2000,18/07/2000,21/07/2000,24/07/2000,27/07/2000,31/07/2000,3/08/2000,7/08/2000,10/08/2000,14/08/2000,17/08/2000,21/08/2000,24/08/2000,28/08/2000,31/08/2000,4/09/2000,7/09/2000,11/09/2000,14/09/2000,18/09/2000,21/09/2000,25/09/2000,28/09/2000,2/10/2000,5/10/2000,9/10/2000,12/10/2000,16/10/2000,19/10/2000,24/10/2000,26/10/2000,31/10/2000,2/11/2000,6/11/2000,9/11/2000,13/11/2000,16/11/2000,20/11/2000,23/11/2000,28/11/2000,1/12/2000,Total
Sarina,-21.37,149.28,2000,2000,8,3,2,18,1,21,4,3,3,3,0,5,0,8,0,2,29,10,29,38,0,20,6,2,2,9,7,0,6,18,33,12,16,23,14,0,1,0,0,0,0,0,0,,,,,,,,,356
Sarina,-21.37,149.28,2000,2000,9,1,0,0,1,71,1,7,1,24,13,16,1,9,0,0,12,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,171
Sarina,-21.37,149.28,2000,2000,32,3,1,12,0,55,0,37,6,23,4,14,1,19,11,0,13,22,42,14,14,17,5,3,2,16,2,7,6,36,16,5,15,3,30,32,0,0,0,0,0,0,,,,,,,,,,518
Sarina,-21.37,149.28,2000,2000,12,2,0,22,4,45,9,60,14,22,10,7,0,13,0,0,4,0,22,16,5,3,4,0,0,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,276
Sarina,-21.37,149.28,2000,2000,4,3,1,28,0,4,0,12,9,15,5,11,4,16,0,0,26,2,32,13,12,19,1,9,0,4,1,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,239
Sarina,-21.37,149.28,2000,2000,22,0,0,3,1,48,8,4,4,10,1,13,2,2,2,5,7,16,30,38,0,32,2,19,3,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,287
Sarina,-21.37,149.28,2000,2000,2,59,6,48,3,0,0,68,31,17,4,27,4,43,3,10,35,29,60,31,14,33,21,16,12,7,15,0,1,11,17,,,,,,,,,,,,,,,,,,,,,627
Sarina,-21.37,149.28,2000,2000,12,0,0,58,6,43,10,3,107,1,1,14,0,25,0,0,34,13,36,7,14,8,1,4,1,2,5,0,17,21,61,11,24,4,4,0,0,0,0,0,0,0,0,0,0,,,,,,,547
Sarina,-21.37,149.28,2000,2000,8,20,1,260,2,190,15,51,27,8,5,49,0,13,1,0,40,22,46,12,6,48,5,37,0,1,9,12,13,30,41,18,12,10,0,19,1,7,12,21,32,11,43,7,21,19,0,0,0,0,0,1205
Sarina,-21.37,149.28,2000,2000,13,25,38,51,9,94,2,45,55,22,26,35,6,26,6,0,24,49,68,67,21,58,9,28,3,38,7,0,43,74,39,53,40,31,35,27,0,0,11,35,7,28,0,,,,,,,,,1248
Sarina,-21.37,149.28,2000,2000,19,32,1,7,5,71,2,4,64,12,0,9,4,7,0,4,24,13,42,23,0,26,6,9,5,19,12,28,16,62,39,51,49,20,31,33,6,0,0,0,0,0,0,,,,,,,,,755
Sarina,-21.37,149.28,2000,2000,4,0,0,1,0,5,2,0,0,1,0,0,2,5,2,1,2,1,10,1,0,12,2,6,0,7,7,10,0,26,28,1,16,8,7,9,9,5,0,0,0,0,0,,,,,,,,,190
Rainbow_Beach,-25.93,153.08,2000,2000,9,1,0,38,0,110,13,72,20,64,4,18,1,40,7,11,27,28,45,35,0,16,1,2,1,12,8,22,30,18,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,657
Rainbow_Beach,-25.93,153.08,2000,2000,14,12,0,18,0,36,4,21,34,5,13,15,0,5,0,2,0,2,13,3,2,0,0,6,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,210
Rainbow_Beach,-25.93,153.08,2000,2000,8,1,0,9,1,53,0,66,0,2,6,47,1,17,0,13,35,16,19,39,3,29,4,7,7,12,0,19,9,16,51,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,490
Rainbow_Beach,-25.93,153.08,2000,2000,8,1,1,45,6,70,27,99,13,49,19,44,3,11,2,16,15,39,42,46,1,20,18,17,12,28,1,3,2,11,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,670
Rainbow_Beach,-25.93,153.08,2000,2000,5,7,1,5,31,41,13,37,30,21,12,13,8,19,0,3,10,13,17,18,0,6,1,0,0,4,0,0,0,0,0,0,0,0,12,0,0,,,,,,,,,,,,,,,327
Rainbow_Beach,-25.93,153.08,2000,2000,2,23,0,8,1,27,6,6,46,11,16,1,1,8,6,5,4,3,31,2,1,6,5,13,3,14,1,0,9,16,35,15,28,18,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,395
Rainbow_Beach,-25.93,153.08,2000,2000,15,18,0,0,1,41,6,15,24,2,16,17,0,23,0,14,10,3,15,4,0,28,1,4,8,1,2,11,6,7,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,292
Rainbow_Beach,-25.93,153.08,2000,2000,4,13,1,4,41,18,29,114,21,52,24,2,27,44,4,5,55,14,26,10,31,4,5,6,1,5,7,3,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,575
Rainbow_Beach,-25.93,153.08,2000,2000,9,5,0,0,15,108,26,28,56,29,14,14,8,17,7,13,1,6,42,13,3,17,4,12,0,5,0,0,7,15,11,12,14,18,10,14,0,0,10,10,0,,,,,,,,,,,573
Rainbow_Beach,-25.93,153.08,2000,2000,21,1,0,10,18,30,3,48,63,4,0,16,0,9,1,0,10,15,32,25,11,50,0,38,5,13,21,6,12,57,52,85,72,34,37,24,0,1,0,0,0,,,,,,,,,,,824
Rainbow_Beach,-25.93,153.08,2000,2000,15,24,0,17,0,48,8,48,3,0,10,26,1,9,0,3,7,28,33,24,2,26,12,19,4,29,15,13,4,43,20,27,21,19,12,22,14,1,0,0,0,0,0,,,,,,,,,607
Rainbow_Beach,-25.93,153.08,2000,2000,5,1,1,15,0,16,2,37,7,19,11,5,0,10,0,0,1,1,2,0,0,1,0,1,2,1,1,1,2,20,25,0,12,11,11,14,14,2,26,33,24,0,0,0,0,0,0,0,0,0,0,334
Coffs_Harbour,-30.27,153.12,2000,2000,16,0,0,24,1,17,1,48,11,14,0,24,0,2,0,2,7,13,2,14,2,17,2,0,6,12,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,246
Coffs_Harbour,-30.27,153.12,2000,2000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,7,13,38,108,46,78,31,45,42,4,16,39,99,29,73,,,,,,,,,,672
Coffs_Harbour,-30.27,153.12,2000,2000,13,0,13,14,1,5,2,10,34,0,5,17,1,7,0,5,46,4,28,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,215
Coffs_Harbour,-30.27,153.12,2000,2000,6,2,0,0,2,3,1,0,1,2,0,3,1,0,3,5,2,3,3,0,0,2,4,8,2,0,13,0,3,47,39,8,22,10,0,0,0,0,0,,,,,,,,,,,,,195
Coffs_Harbour,-30.27,153.12,2000,2000,9,0,0,1,2,5,3,8,2,29,5,1,4,5,8,2,1,10,3,5,1,3,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,108
Coffs_Harbour,-30.27,153.12,2000,2000,8,0,0,10,0,49,11,12,46,4,13,13,1,0,1,1,16,14,24,11,24,23,5,11,0,10,8,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,341
Coffs_Harbour,-30.27,153.12,2000,2000,3,3,0,3,1,15,1,5,1,1,0,19,0,0,1,2,3,4,20,31,0,13,1,6,0,1,2,3,1,28,50,0,11,0,0,0,0,0,0,0,0,0,,,,,,,,,,229
