Species,Population,Latitude,Longitude,Year_start,Year_end,Fly_number,Sex,Thorax_length,l2,3p,l3d,lpd,l3,w1,w2,w3,Wing_loading
D._buzzatii,Binjour,-25.52,151.45,1994,1994,27,female,1.078,1.761,0.614,1.495,2.109,2.108,0.942,1.316,1.036,1.956
D._buzzatii,Binjour,-25.52,151.45,1994,1994,28,female,1.002,1.682,0.561,1.440,2.001,2.000,0.919,1.256,1.039,1.995
D._buzzatii,Binjour,-25.52,151.45,1994,1994,29,female,1.112,1.818,0.596,1.551,2.147,2.145,0.974,1.343,1.103,1.929
D._buzzatii,Binjour,-25.52,151.45,1994,1994,30,female,0.935,1.612,0.523,1.397,1.920,1.918,0.831,1.172,0.947,2.051
D._buzzatii,Binjour,-25.52,151.45,1994,1994,31,female,1.127,1.828,0.601,1.538,2.146,2.141,0.974,1.357,1.088,1.900
D._buzzatii,Binjour,-25.52,151.45,1994,1994,32,female,0.983,1.566,0.500,1.398,1.898,1.897,0.808,1.139,0.917,1.930
D._buzzatii,Binjour,-25.52,151.45,1994,1994,33,female,1.069,1.669,0.531,1.461,1.992,1.991,0.853,1.193,0.979,1.862
D._buzzatii,Binjour,-25.52,151.45,1994,1994,34,female,1.060,1.809,0.604,1.509,2.113,2.112,0.880,1.277,1.027,1.991
D._buzzatii,Binjour,-25.52,151.45,1994,1994,35,female,0.954,1.647,0.556,1.431,1.987,1.986,0.888,1.225,0.999,2.081
D._buzzatii,Binjour,-25.52,151.45,1994,1994,36,female,0.960,1.614,0.533,1.391,1.924,1.924,0.844,1.184,0.945,2.004
D._buzzatii,Binjour,-25.52,151.45,1994,1994,37,female,1.027,1.766,0.559,1.513,2.072,2.072,0.923,1.267,1.077,2.017
D._buzzatii,Binjour,-25.52,151.45,1994,1994,38,female,1.064,1.775,0.544,1.564,2.107,2.107,0.949,1.302,1.090,1.979
D._buzzatii,Binjour,-25.52,151.45,1994,1994,39,female,1.044,1.623,0.561,1.381,1.943,1.942,0.871,1.210,0.963,1.861
D._buzzatii,Binjour,-25.52,151.45,1994,1994,40,female,1.046,1.687,0.498,1.468,1.966,1.966,0.871,1.232,1.007,1.880
D._buzzatii,Binjour,-25.52,151.45,1994,1994,41,female,1.126,1.797,0.581,1.529,2.113,2.111,0.956,1.311,1.053,1.876
D._buzzatii,Binjour,-25.52,151.45,1994,1994,42,female,0.932,1.556,0.533,1.323,1.887,1.886,0.810,1.148,0.872,2.023
D._buzzatii,Binjour,-25.52,151.45,1994,1994,43,female,1.140,1.824,0.592,1.544,2.136,2.135,0.956,1.320,1.093,1.872
D._buzzatii,Binjour,-25.52,151.45,1994,1994,44,female,1.116,1.869,0.615,1.554,2.169,2.169,0.906,1.307,1.044,1.942
D._buzzatii,Binjour,-25.52,151.45,1994,1994,45,female,1.062,1.725,0.548,1.504,2.037,2.035,0.868,1.195,1.022,1.916
D._buzzatii,Binjour,-25.52,151.45,1994,1994,46,female,0.966,1.640,0.534,1.409,1.943,1.940,0.848,1.167,0.972,2.008
D._buzzatii,Binjour,-25.52,151.45,1994,1994,47,female,1.039,1.676,0.555,1.428,1.983,1.983,0.888,1.239,1.008,1.908
D._buzzatii,Binjour,-25.52,151.45,1994,1994,48,female,1.096,1.784,0.589,1.575,2.163,2.161,0.936,1.315,1.039,1.972
D._buzzatii,Binjour,-25.52,151.45,1994,1994,49,female,0.930,1.487,0.497,1.297,1.793,1.791,0.771,1.077,0.887,1.927
D._buzzatii,Binjour,-25.52,151.45,1994,1994,50,male,1.059,1.776,0.575,1.490,2.066,2.061,0.896,1.273,1.003,1.946
D._buzzatii,Binjour,-25.52,151.45,1994,1994,51,male,0.988,1.522,0.500,1.342,1.843,1.841,0.840,1.135,0.939,1.863
D._buzzatii,Binjour,-25.52,151.45,1994,1994,52,male,0.980,1.603,0.504,1.341,1.845,1.845,0.840,1.156,0.963,1.881
D._buzzatii,Binjour,-25.52,151.45,1994,1994,53,male,0.880,1.396,0.451,1.269,1.720,1.718,0.752,1.042,0.839,1.953
D._buzzatii,Binjour,-25.52,151.45,1994,1994,54,male,0.955,1.615,0.550,1.414,1.963,1.962,0.882,1.206,0.985,2.054
D._buzzatii,Binjour,-25.52,151.45,1994,1994,55,male,0.848,1.394,0.410,1.269,1.678,1.676,0.715,1.019,0.819,1.976
D._buzzatii,Binjour,-25.52,151.45,1994,1994,56,male,0.995,1.670,0.519,1.430,1.949,1.948,0.845,1.190,0.988,1.957
D._buzzatii,Binjour,-25.52,151.45,1994,1994,57,male,1.026,1.662,0.531,1.425,1.956,1.955,0.871,1.201,1.005,1.905
D._buzzatii,Binjour,-25.52,151.45,1994,1994,58,male,0.867,1.545,0.503,1.325,1.827,1.824,0.804,1.116,0.950,2.105
D._buzzatii,Binjour,-25.52,151.45,1994,1994,59,male,1.066,1.732,0.557,1.451,2.008,2.006,0.871,1.210,1.029,1.883
D._buzzatii,Binjour,-25.52,151.45,1994,1994,60,male,1.025,1.675,0.539,1.455,1.994,1.993,0.934,1.263,1.051,1.945
D._buzzatii,Binjour,-25.52,151.45,1994,1994,61,male,1.039,1.695,0.567,1.440,2.006,2.006,0.893,1.213,1.048,1.931
D._buzzatii,Binjour,-25.52,151.45,1994,1994,62,male,0.890,1.554,0.473,1.361,1.833,1.832,0.811,1.128,0.931,2.059
D._buzzatii,Binjour,-25.52,151.45,1994,1994,63,male,1.029,1.657,0.544,1.411,1.954,1.954,0.841,1.176,0.987,1.898
D._buzzatii,Binjour,-25.52,151.45,1994,1994,64,male,1.029,1.678,0.557,1.415,1.972,1.970,0.910,1.224,1.049,1.915
D._buzzatii,Binjour,-25.52,151.45,1994,1994,65,male,0.758,1.420,0.443,1.255,1.698,1.698,0.738,1.026,0.857,2.238
D._buzzatii,Binjour,-25.52,151.45,1994,1994,66,male,1.003,1.742,0.573,1.460,2.032,2.032,0.927,1.266,1.072,2.026
D._buzzatii,Binjour,-25.52,151.45,1994,1994,67,male,0.887,1.443,0.464,1.275,1.739,1.739,0.785,1.081,0.877,1.960
D._buzzatii,Binjour,-25.52,151.45,1994,1994,68,male,0.991,1.623,0.516,1.392,1.908,1.906,0.849,1.182,0.949,1.925
D._buzzatii,Binjour,-25.52,151.45,1994,1994,69,male,0.869,1.441,0.480,1.223,1.703,1.701,0.761,1.043,0.883,1.958
D._buzzatii,Binjour,-25.52,151.45,1994,1994,70,male,0.992,1.584,0.502,1.366,1.868,1.866,0.798,1.055,0.995,1.882
D._buzzatii,Binjour,-25.52,151.45,1994,1994,71,male,1.055,1.649,0.526,1.409,1.935,1.932,0.886,1.209,1.015,1.831
D._buzzatii,Binjour,-25.52,151.45,1994,1994,72,male,1.065,1.738,0.564,1.494,2.058,2.056,0.925,1.281,1.036,1.931
D._buzzatii,Binjour,-25.52,151.45,1994,1994,73,male,1.000,1.627,0.539,1.357,1.896,1.894,0.859,1.208,0.961,1.895
D._buzzatii,Binjour,-25.52,151.45,1994,1994,74,male,0.918,1.515,0.523,1.280,1.803,1.801,0.786,1.067,0.915,1.963
D._buzzatii,Binjour,-25.52,151.45,1994,1994,75,male,0.955,1.453,0.487,1.229,1.716,1.716,0.796,1.076,0.900,1.797
D._buzzatii,Binjour,-25.52,151.45,1994,1994,76,male,1.050,1.731,0.549,1.472,2.019,2.019,0.871,1.187,1.052,1.923
D._buzzatii,Binjour,-25.52,151.45,1994,1994,77,male,0.938,1.547,0.542,1.290,1.832,1.828,0.797,1.080,0.942,1.947
D._buzzatii,Binjour,-25.52,151.45,1994,1994,78,male,1.029,1.701,0.558,1.439,1.997,1.997,0.885,1.243,1.011,1.940
D._buzzatii,Binjour,-25.52,151.45,1994,1994,79,male,0.990,1.515,0.538,1.327,1.864,1.861,0.834,1.091,0.960,1.880
D._buzzatii,Binjour,-25.52,151.45,1994,1994,80,male,0.950,1.638,0.533,1.374,1.907,1.906,0.849,1.170,0.979,2.007
D._buzzatii,Binjour,-25.52,151.45,1994,1994,81,male,1.011,1.630,0.518,1.419,1.931,1.929,0.911,1.232,1.027,1.907
D._buzzatii,Binjour,-25.52,151.45,1994,1994,82,male,.,1.697,0.643,1.380,2.022,2.016,0.902,1.263,0.990,
D._buzzatii,Binjour,-25.52,151.45,1994,1994,83,male,1.008,1.629,0.523,1.406,1.929,1.924,0.841,1.214,0.928,1.908
D._buzzatii,Binjour,-25.52,151.45,1994,1994,84,male,1.028,1.741,0.583,1.507,2.091,2.091,0.896,1.265,1.021,2.033
D._buzzatii,Binjour,-25.52,151.45,1994,1994,85,male,0.820,1.451,0.489,1.252,1.740,1.738,0.795,1.116,0.847,2.119
