Population,Latitude,Longitude,Year_start,Year_end,Line,Altitude_class,Altitude,Female_states,Female1_O1,Female1_O2,Female2_O1,Female2_O2,Female3_O1,Female3_O2,Female4_O1,Female4_O2,Mean_ovariole_number,,,
Armidale,-30.52,151.68,2002,2002,3,high,1296,non-mated,16,9,19.00,18.00,22,14.00,13,17,16.00,,,
Armidale,-30.52,151.68,2002,2002,4,high,1296,non-mated,24,22,21.00,27.00,13,20.00,11,27,20.63,,,
Armidale,-30.52,151.68,2002,2002,5,high,1296,non-mated,16,17,18.00,16.00,19,16.00,18,19,17.38,,,
Armidale,-30.52,151.68,2002,2002,1,high,1296,mated,,,,,,,,,0.00,,,
Armidale,-30.52,151.68,2002,2002,2,high,1296,mated,16,14,14,17,15,19.000,9,17,15.13,,,
Armidale,-30.52,151.68,2002,2002,3,high,1296,mated,10,18,20,19,20,19.000,17,20,17.88,,,
Armidale,-30.52,151.68,2002,2002,4,high,1296,mated,19,16,24,17,26,20.000,16,17,19.38,,,
Armidale,-30.52,151.68,2002,2002,5,high,1296,mated,12,12,15,16,12,11.000,,,13.00,,,
Blackheath,-33.63,150.28,2002,2002,1,high,1046,non-mated,14,11,18.00,21.00, , ,16,16,16.00,,,
Blackheath,-33.63,150.28,2002,2002,2,high,1046,non-mated,20,16,17.00,17.00,18,15.00,17,16,17.00,,,
Blackheath,-33.63,150.28,2002,2002,3,high,1046,non-mated,18,15,16.00,16.00,15,17.00,14,17,16.00,,,
Blackheath,-33.63,150.28,2002,2002,4,high,1046,non-mated,16,16,17.00,15.00,13,10.00,19,20,15.75,,,
Blackheath,-33.63,150.28,2002,2002,5,high,1046,non-mated,19,16,16.00,14.00,17,18.00,18,17,16.88,,,
Blackheath,-33.63,150.28,2002,2002,1,high,1046,mated,14,12,12,14,13,,16,13,13.43,,,
Blackheath,-33.63,150.28,2002,2002,2,high,1046,mated,13,15,15,17,18,18.000,11,17,15.50,,,
Blackheath,-33.63,150.28,2002,2002,3,high,1046,mated,11,16,15,17,17,18.000,26,21,17.63,,,
Blackheath,-33.63,150.28,2002,2002,4,high,1046,mated,21,20,14,14,19,18.000,7,18,16.38,,,
Blackheath,-33.63,150.28,2002,2002,5,high,1046,mated,20,16,17,15,19,17.000,16,16,17.00,,,
Wollongong,-34.42,150.90,2002,2002,1,low,10,non-mated,19,15,17.00,20.00,18,18.00,20,18,18.13,,,
Wollongong,-34.42,150.90,2002,2002,2,low,10,non-mated,19,16,24.00,20.00,19,17.00,21,19,19.38,,,
Wollongong,-34.42,150.90,2002,2002,3,low,10,non-mated,22,26,26.00,16.00,20,17.00,19,18,20.50,,,
Wollongong,-34.42,150.90,2002,2002,4,low,10,non-mated,12,15,12.00,  ,17,17.00,19,15,15.29,,,
Wollongong,-34.42,150.90,2002,2002,5,low,10,non-mated,26,25,19.00,16.00,13,9.00,13,19,17.50,,,
Wollongong,-34.42,150.90,2002,2002,1,low,10,mated,20,12,18,16,19,22.000,16, ,17.57,,,
Wollongong,-34.42,150.90,2002,2002,2,low,10,mated,17,11,16,19,19,13.000,14,18,15.88,,,
Wollongong,-34.42,150.90,2002,2002,3,low,10,mated,12,19,10,14,10,8.000,17,15,13.13,,,
Wollongong,-34.42,150.90,2002,2002,4,low,10,mated,17,15,19,14,19,16.000,23,25,18.50,,,
Wollongong,-34.42,150.90,2002,2002,5,low,10,mated,11,19,13,13,19,22.000,15,18,16.25,,,
Adaminaby,-35.98,148.77,2002,2002,1,high,1025,non-mated,23,12,15.00,16.00,14,21.00,14,12,15.88,,,
Adaminaby,-35.98,148.77,2002,2002,2,high,1025,non-mated,20,21,22.00,18.00,21,24.00,16,18,20.00,,,
Adaminaby,-35.98,148.77,2002,2002,3,high,1025,non-mated,17,11,18.00,20.00,16,17.00,9, ,15.43,,,
Adaminaby,-35.98,148.77,2002,2002,4,high,1025,non-mated,11,13,13.00,15.00,16,22.00,15,13,14.75,,,
Adaminaby,-35.98,148.77,2002,2002,5,high,1025,non-mated,18,15,12.00,13.00,15,16.00,14,13,14.50,,,
Adaminaby,-35.98,148.77,2002,2002,1,high,1025,mated,16,18,13,18,11,10.000,15,12,14.13,,,
Adaminaby,-35.98,148.77,2002,2002,2,high,1025,mated,25,22,15,20,13,12.000,16,14,17.13,,,
Adaminaby,-35.98,148.77,2002,2002,3,high,1025,mated,17,14,18,12,16,20.000,12,14,15.38,,,
Adaminaby,-35.98,148.77,2002,2002,4,high,1025,mated,19,22,22,24,19,19.000, , ,20.83,,,
Adaminaby,-35.98,148.77,2002,2002,5,high,1025,mated,21,15,15,15,14,22.000,20,18,17.50,,,
Bega,-36.68,149.83,2002,2002,1,low,60,non-mated,15,15,19.00,16.00,11,16.00,16,18,15.75,,,
Bega,-36.68,149.83,2002,2002,2,low,60,non-mated,13,13,18.00,12.00,17,17.00,17,14,15.13,,,
Bega,-36.68,149.83,2002,2002,3,low,60,non-mated,18,14,12.00,19.00,16,19.00,18,15,16.38,,,
Bega,-36.68,149.83,2002,2002,4,low,60,non-mated,13,15,12.00,12.00,11,14.00, , ,12.83,,,
Bega,-36.68,149.83,2002,2002,5,low,60,non-mated,15,19,17.00,16.00,14,23.00,17,17,17.25,,,
Bega,-36.68,149.83,2002,2002,1,low,60,mated,18,20, , ,16,13.000,,,16.75,,,
Bega,-36.68,149.83,2002,2002,2,low,60,mated,18,14,16,15,15,17.000,16,17,16.00,,,
Bega,-36.68,149.83,2002,2002,3,low,60,mated,23,11,10,10,,,,,13.50,,,
Bega,-36.68,149.83,2002,2002,4,low,60,mated,14,15,14,16,11,13.000,24,18,15.63,,,
Bega,-36.68,149.83,2002,2002,5,low,60,mated,16,14,15,14,25,21.000,18,17,17.50,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
