Drosophila buzzatii: GENEPOP data file for seven loci in each of the 195 samples from 67 localities

Pgm
Aldox
Hex
Adh
Est1
Est2
Lap
pop
 36 Mackay,        0202 0101 0101 0303 0202 0101 0202
 36 Mackay,        0202 0101 0101 0202 0202 0102 0202
 36 Mackay,        0202 0101 0101 0202 0202 0101 0202
 36 Mackay,        0202 0101 0101 0203 0202 0102 0202
 36 Mackay,        0202 0101 0101 0203 0202 0101 0202
 36 Mackay,        0202 0101 0101 0203 0202 0101 0202
 36 Mackay,        0202 0101 0102 0202 0202 0102 0202
 36 Mackay,        0202 0101 0101 0203 0202 0101 0202
 36 Mackay,        0202 0101 0101 0303 0202 0101 0202
 36 Mackay,        0202 0101 0101 0202 0202 0101 0202
 36 Mackay,        0202 0101 0101 0203 0202 0101 0202
 36 Mackay,        0202 0101 0102 0202 0202 0102 0202
POP
54B NthKeppelIs,   0202 0101 0101 0303 0203 0103 0202
54B NthKeppelIs,   0202 0101 0101 0202 0203 0203 0202
54B NthKeppelIs,   0102 0101 0102 0203 0202 0202 0202
54B NthKeppelIs,   0202 0101 0101 0203 0102 0104 0202
54B NthKeppelIs,   0202 0101 0000 0203 0102 0204 0202
54B NthKeppelIs,   0202 0101 0102 0202 0202 0104 0202
54B NthKeppelIs,   0202 0101 0101 0202 0202 0104 0202
54B NthKeppelIs,   0202 0101 0101 0303 0202 0202 0202
54B NthKeppelIs,   0202 0101 0202 0203 0202 0104 0202
54B NthKeppelIs,   0202 0101 0202 0203 0101 0203 0202
54B NthKeppelIs,   0202 0101 0202 0202 0102 0202 0202
54B NthKeppelIs,   0202 0101 0101 0203 0202 0204 0202
54B NthKeppelIs,   0202 0101 0101 0203 0202 0103 0202
54B NthKeppelIs,   0202 0101 0101 0000 0101 0202 0202
54B NthKeppelIs,   0202 0101 0102 0202 0202 0101 0202
54B NthKeppelIs,   0202 0101 0101 0202 0102 0204 0202
54B NthKeppelIs,   0202 0101 0102 0203 0202 0202 0202
54B NthKeppelIs,   0202 0101 0101 0203 0101 0204 0202
54B NthKeppelIs,   0202 0101 0102 0303 0202 0101 0202
54B NthKeppelIs,   0202 0101 0202 0203 0102 0103 0202
54B NthKeppelIs,   0202 0101 0101 0202 0102 0204 0202
54B NthKeppelIs,   0202 0101 0101 0202 0202 0104 0202
54B NthKeppelIs,   0202 0101 0101 0000 0202 0000 0202
54B NthKeppelIs,   0202 0101 0101 0203 0102 0102 0202
54B NthKeppelIs,   0202 0101 0101 0303 0102 0203 0202
54B NthKeppelIs,   0202 0101 0101 0303 0203 0101 0202
54B NthKeppelIs,   0202 0101 0000 0202 0102 0204 0202
54B NthKeppelIs,   0202 0101 0102 0303 0102 0102 0202
54B NthKeppelIs,   0202 0101 0101 0202 0102 0102 0202
54B NthKeppelIs,   0202 0101 0101 0202 0102 0102 0202
54B NthKeppelIs,   0202 0101 0101 0303 0202 0104 0202
54B NthKeppelIs,   0202 0101 0101 0202 0102 0102 0202
54B NthKeppelIs,   0202 0101 0101 0000 0102 0202 0202
54B NthKeppelIs,   0000 0101 0101 0202 0102 0102 0202
54B NthKeppelIs,   0102 0101 0102 0202 0102 0102 0202
54B NthKeppelIs,   0202 0101 0101 0202 0202 0101 0202
