Population,Latitude,Longitude,Year_start,Year_end,Run,Treatment,Heat_knockdown_time
Coffs_Harbour,-30.267,153.03,2001,2001,6,summer,8.26
Coffs_Harbour,-30.267,153.03,2001,2001,8,constant,8.35
Coffs_Harbour,-30.267,153.03,2001,2001,8,constant,8.47
Coffs_Harbour,-30.267,153.03,2001,2001,2,summer,8.75
Coffs_Harbour,-30.267,153.03,2001,2001,7,winter,8.85
Coffs_Harbour,-30.267,153.03,2001,2001,5,winter,8.94
Coffs_Harbour,-30.267,153.03,2001,2001,8,constant,9.27
Coffs_Harbour,-30.267,153.03,2001,2001,1,constant,9.66
Coffs_Harbour,-30.267,153.03,2001,2001,7,summer,10.03
Coffs_Harbour,-30.267,153.03,2001,2001,7,summer,10.14
Coffs_Harbour,-30.267,153.03,2001,2001,8,winter,10.19
Coffs_Harbour,-30.267,153.03,2001,2001,1,constant,10.26
Coffs_Harbour,-30.267,153.03,2001,2001,4,winter,10.34
Coffs_Harbour,-30.267,153.03,2001,2001,1,summer,10.35
Coffs_Harbour,-30.267,153.03,2001,2001,8,constant,10.40
Coffs_Harbour,-30.267,153.03,2001,2001,3,summer,10.41
Coffs_Harbour,-30.267,153.03,2001,2001,3,summer,10.63
Coffs_Harbour,-30.267,153.03,2001,2001,1,summer,10.74
Coffs_Harbour,-30.267,153.03,2001,2001,1,constant,10.76
Coffs_Harbour,-30.267,153.03,2001,2001,6,summer,10.82
Coffs_Harbour,-30.267,153.03,2001,2001,4,summer,10.95
Coffs_Harbour,-30.267,153.03,2001,2001,2,summer,11.10
Coffs_Harbour,-30.267,153.03,2001,2001,8,winter,11.16
Coffs_Harbour,-30.267,153.03,2001,2001,8,constant,11.17
Coffs_Harbour,-30.267,153.03,2001,2001,8,winter,11.22
Coffs_Harbour,-30.267,153.03,2001,2001,7,winter,11.22
Coffs_Harbour,-30.267,153.03,2001,2001,8,constant,11.31
Coffs_Harbour,-30.267,153.03,2001,2001,8,constant,11.39
Coffs_Harbour,-30.267,153.03,2001,2001,8,constant,11.56
Coffs_Harbour,-30.267,153.03,2001,2001,6,winter,11.70
Coffs_Harbour,-30.267,153.03,2001,2001,4,summer,11.92
Coffs_Harbour,-30.267,153.03,2001,2001,8,winter,12.02
Coffs_Harbour,-30.267,153.03,2001,2001,5,summer,12.15
Coffs_Harbour,-30.267,153.03,2001,2001,4,winter,12.15
Coffs_Harbour,-30.267,153.03,2001,2001,7,summer,12.18
Coffs_Harbour,-30.267,153.03,2001,2001,8,constant,12.20
Coffs_Harbour,-30.267,153.03,2001,2001,6,summer,12.28
Coffs_Harbour,-30.267,153.03,2001,2001,8,constant,12.32
Coffs_Harbour,-30.267,153.03,2001,2001,8,constant,12.58
Coffs_Harbour,-30.267,153.03,2001,2001,7,summer,12.89
Coffs_Harbour,-30.267,153.03,2001,2001,4,summer,12.91
Coffs_Harbour,-30.267,153.03,2001,2001,3,summer,13.08
Coffs_Harbour,-30.267,153.03,2001,2001,2,summer,13.10
Coffs_Harbour,-30.267,153.03,2001,2001,8,winter,13.23
Coffs_Harbour,-30.267,153.03,2001,2001,8,constant,13.28
Coffs_Harbour,-30.267,153.03,2001,2001,8,constant,13.48
Coffs_Harbour,-30.267,153.03,2001,2001,8,constant,14.47
Coffs_Harbour,-30.267,153.03,2001,2001,3,summer,15.51
Coffs_Harbour,-30.267,153.03,2001,2001,5,summer,16.05
Coffs_Harbour,-30.267,153.03,2001,2001,5,summer,16.21
Coffs_Harbour,-30.267,153.03,2001,2001,8,constant,16.38
Coffs_Harbour,-30.267,153.03,2001,2001,8,constant,18.35
Innisfail,-16.350,145.30,2001,2001,3,winter,3.13
Innisfail,-16.350,145.30,2001,2001,2,winter,3.54
Innisfail,-16.350,145.30,2001,2001,7,winter,3.82
Innisfail,-16.350,145.30,2001,2001,7,winter,4.08
Innisfail,-16.350,145.30,2001,2001,5,winter,4.46
Innisfail,-16.350,145.30,2001,2001,2,winter,4.68
Innisfail,-16.350,145.30,2001,2001,4,winter,4.85
Innisfail,-16.350,145.30,2001,2001,3,constant,5.28
Innisfail,-16.350,145.30,2001,2001,8,winter,6.00
Innisfail,-16.350,145.30,2001,2001,4,winter,6.19
Innisfail,-16.350,145.30,2001,2001,6,summer,6.84
Innisfail,-16.350,145.30,2001,2001,7,winter,7.18
Innisfail,-16.350,145.30,2001,2001,1,constant,7.31
Innisfail,-16.350,145.30,2001,2001,5,constant,7.45
Innisfail,-16.350,145.30,2001,2001,7,winter,7.85
Innisfail,-16.350,145.30,2001,2001,4,constant,7.97
Innisfail,-16.350,145.30,2001,2001,2,winter,8.06
Innisfail,-16.350,145.30,2001,2001,5,constant,8.09
Innisfail,-16.350,145.30,2001,2001,4,summer,8.20
Innisfail,-16.350,145.30,2001,2001,7,constant,8.23
Innisfail,-16.350,145.30,2001,2001,7,summer,8.27
Innisfail,-16.350,145.30,2001,2001,1,constant,8.42
Innisfail,-16.350,145.30,2001,2001,1,summer,8.68
Innisfail,-16.350,145.30,2001,2001,2,constant,8.77
Innisfail,-16.350,145.30,2001,2001,2,summer,8.85
Innisfail,-16.350,145.30,2001,2001,8,winter,9.00
Innisfail,-16.350,145.30,2001,2001,7,summer,9.03
Innisfail,-16.350,145.30,2001,2001,7,constant,9.16
Innisfail,-16.350,145.30,2001,2001,5,winter,9.18
Innisfail,-16.350,145.30,2001,2001,1,constant,9.30
Innisfail,-16.350,145.30,2001,2001,5,winter,9.41
Innisfail,-16.350,145.30,2001,2001,6,winter,9.71
Innisfail,-16.350,145.30,2001,2001,6,constant,9.78
Innisfail,-16.350,145.30,2001,2001,6,summer,9.84
Innisfail,-16.350,145.30,2001,2001,8,winter,10.24
Innisfail,-16.350,145.30,2001,2001,1,summer,10.30
Innisfail,-16.350,145.30,2001,2001,8,winter,10.37
Innisfail,-16.350,145.30,2001,2001,6,winter,10.43
Innisfail,-16.350,145.30,2001,2001,3,summer,10.55
Innisfail,-16.350,145.30,2001,2001,5,summer,10.95
Innisfail,-16.350,145.30,2001,2001,4,summer,11.13
Innisfail,-16.350,145.30,2001,2001,8,summer,11.29
Innisfail,-16.350,145.30,2001,2001,5,summer,11.33
Innisfail,-16.350,145.30,2001,2001,6,summer,11.33
Innisfail,-16.350,145.30,2001,2001,8,winter,11.34
Innisfail,-16.350,145.30,2001,2001,6,summer,11.46
Innisfail,-16.350,145.30,2001,2001,1,summer,11.52
Innisfail,-16.350,145.30,2001,2001,2,constant,11.54
Innisfail,-16.350,145.30,2001,2001,2,constant,11.84
Innisfail,-16.350,145.30,2001,2001,7,summer,11.96
Innisfail,-16.350,145.30,2001,2001,3,summer,12.27
Innisfail,-16.350,145.30,2001,2001,4,constant,12.30
Innisfail,-16.350,145.30,2001,2001,6,constant,12.39
Innisfail,-16.350,145.30,2001,2001,6,constant,12.56
Innisfail,-16.350,145.30,2001,2001,8,summer,12.59
Innisfail,-16.350,145.30,2001,2001,2,summer,12.87
Innisfail,-16.350,145.30,2001,2001,7,summer,13.05
Innisfail,-16.350,145.30,2001,2001,3,summer,13.15
Innisfail,-16.350,145.30,2001,2001,5,summer,13.20
Innisfail,-16.350,145.30,2001,2001,4,constant,13.20
Innisfail,-16.350,145.30,2001,2001,4,winter,13.90
Innisfail,-16.350,145.30,2001,2001,5,constant,13.96
Innisfail,-16.350,145.30,2001,2001,7,constant,14.14
Innisfail,-16.350,145.30,2001,2001,8,constant,14.45
Innisfail,-16.350,145.30,2001,2001,2,summer,14.81
Innisfail,-16.350,145.30,2001,2001,7,constant,15.08
Innisfail,-16.350,145.30,2001,2001,3,constant,15.16
Innisfail,-16.350,145.30,2001,2001,4,constant,15.23
Innisfail,-16.350,145.30,2001,2001,4,summer,16.25
Innisfail,-16.350,145.30,2001,2001,3,constant,16.60
Mackay,-21.300,149.15,2001,2001,6,winter,3.38
Mackay,-21.300,149.15,2001,2001,7,winter,3.96
Mackay,-21.300,149.15,2001,2001,2,winter,4.83
Mackay,-21.300,149.15,2001,2001,6,winter,4.84
Mackay,-21.300,149.15,2001,2001,4,winter,5.11
Mackay,-21.300,149.15,2001,2001,7,winter,5.35
Mackay,-21.300,149.15,2001,2001,5,winter,5.40
