Population,ID_Nr,Latitude,Longitude,Year_start,Year_end,Locus,Allele1_fz,Allele2_fz,Allele3_fz,Allele4_fz,Allele5_fz,2n
Mackay,36,-21.170,149.220,1972,1996,Adh-1,0.000,0.625,0.375,,,24
Nth_Keppel_Is.,54A,-23.090,150.870,1972,1996,Adh-1,0.000,0.685,0.315,,,232
Nth_Keppel_Is.,54B,-23.090,150.870,1972,1996,Adh-1,0.000,0.687,0.313,,,134
Mulambin_Beach,55A,-23.188,150.789,1972,1996,Adh-1,0.000,0.461,0.539,,,76
Mulambin_Beach,55B,-23.188,150.789,1972,1996,Adh-1,0.000,0.613,0.387,,,160
Emu_Park,32A,-23.240,150.840,1972,1996,Adh-1,0.000,0.655,0.345,,,116
Emu_Park,32B,-23.240,150.840,1972,1996,Adh-1,0.000,0.833,0.167,,,18
Masthead_Is.,69,-23.540,151.730,1972,1996,Adh-1,0.000,0.613,0.387,,,80
Westwood,16A,-23.647,150.149,1972,1996,Adh-1,0.000,0.317,0.683,,,60
Westwood,16B,-23.647,150.149,1972,1996,Adh-1,0.000,0.571,0.429,,,98
Westwood,16C,-23.647,150.149,1972,1996,Adh-1,0.000,0.629,0.371,,,62
Westwood,16D,-23.647,150.149,1972,1996,Adh-1,0.009,0.547,0.443,,,106
Dixalea,17A,-23.928,150.284,1972,1996,Adh-1,0.000,0.590,0.410,,,100
Dixalea,17C,-23.928,150.284,1972,1996,Adh-1,0.000,0.709,0.291,,,148
Glen_Elgin,15A,-24.620,149.190,1972,1996,Adh-1,0.000,0.506,0.494,,,160
Glen_Elgin,15B,-24.620,149.190,1972,1996,Adh-1,0.023,0.545,0.432,,,88
Glen_Elgin,15C,-24.620,149.190,1972,1996,Adh-1,0.000,0.550,0.450,,,80
Glen_Elgin,15D,-24.620,149.190,1972,1996,Adh-1,0.000,0.746,0.254,,,236
Planet_Downs,51A,-24.630,149.030,1972,1996,Adh-1,0.000,0.559,0.441,,,68
Planet_Downs,51B,-24.630,149.030,1972,1996,Adh-1,0.000,0.538,0.462,,,236
Theodore,18A,-25.023,150.044,1972,1996,Adh-1,0.000,0.398,0.602,,,88
Theodore,18B,-25.023,150.044,1972,1996,Adh-1,0.000,0.588,0.412,,,136
Theodore,18C,-25.023,150.044,1972,1996,Adh-1,0.000,0.560,0.440,,,250
Isla_Gorge,72,-25.247,149.941,1972,1996,Adh-1,0.000,0.538,0.462,,,78
Bulloo_Lakes,25,-25.590,144.600,1972,1996,Adh-1,0.011,0.670,0.318,,,88
Telegraph_Plains,67,-25.669,149.832,1972,1996,Adh-1,0.000,0.495,0.505,,,188
Injune,14,-25.754,148.656,1972,1996,Adh-1,0.029,0.471,0.500,,,70
Injune_Creek,66A,-25.900,148.548,1972,1996,Adh-1,0.000,0.496,0.504,,,270
Injune_Creek,66B,-25.900,148.548,1972,1996,Adh-1,0.000,0.500,0.500,,,70
