Latitude,Longitude,Year_start,Year_end,Sex,Thorax_length,Wing_centroid_size
-36.17,149.78,2008,2008,male,0.84,1.39
-36.17,149.78,2008,2008,male,0.89,1.40
-36.17,149.78,2008,2008,male,0.82,1.47
-36.17,149.78,2008,2008,male,0.89,1.48
-36.17,149.78,2008,2008,male,0.84,1.39
-36.17,149.78,2008,2008,male,0.80,1.38
-36.17,149.78,2008,2008,male,0.84,1.49
-36.17,149.78,2008,2008,male,0.82,1.47
-36.17,149.78,2008,2008,male,0.82,1.47
-36.17,149.78,2008,2008,male,0.82,1.39
-36.17,149.78,2008,2008,male,0.82,1.44
-36.17,149.78,2008,2008,male,0.78,1.38
-36.17,149.78,2008,2008,male,0.82,1.44
-37.43,144.92,2008,2008,male,0.82,1.46
-37.43,144.92,2008,2008,male,0.84,1.45
-37.43,144.92,2008,2008,male,0.89,1.55
-37.43,144.92,2008,2008,male,0.93,1.53
-37.43,144.92,2008,2008,male,0.82,1.48
-37.43,144.92,2008,2008,male,0.84,1.47
-37.43,144.92,2008,2008,male,0.82,1.41
-37.43,144.92,2008,2008,male,0.87,1.48
-37.43,144.92,2008,2008,male,0.78,1.42
-37.43,144.92,2008,2008,male,0.80,1.45
-37.43,144.92,2008,2008,male,0.80,1.36
-37.43,144.92,2008,2008,male,0.78,1.40
-37.43,144.92,2008,2008,male,0.80,1.43
-37.43,144.92,2008,2008,male,0.82,1.43
-37.43,144.92,2008,2008,male,0.78,1.37
-37.43,144.92,2008,2008,male,0.84,1.53
-37.53,144.86,2008,2008,male,0.89,1.48
-37.53,144.86,2008,2008,male,0.89,1.49
-37.53,144.86,2008,2008,male,0.87,1.42
-37.53,144.86,2008,2008,male,0.89,1.48
-37.53,144.86,2008,2008,male,0.93,1.51
-37.53,144.86,2008,2008,male,0.84,1.45
-37.53,144.86,2008,2008,male,0.82,1.43
-37.53,144.86,2008,2008,male,0.80,1.45
-37.53,144.86,2008,2008,male,0.82,1.41
-37.53,144.86,2008,2008,male,0.87,1.46
-37.53,144.86,2008,2008,male,0.87,1.48
-37.53,144.86,2008,2008,male,0.84,1.48
-37.53,144.86,2008,2008,male,0.82,1.47
-37.53,144.86,2008,2008,male,0.87,1.48
-37.53,144.86,2008,2008,male,0.84,1.49
-37.53,144.86,2008,2008,male,0.84,1.44
-37.53,144.86,2008,2008,male,0.84,1.44
-41.14,147.03,2008,2008,male,0.80,1.47
-41.14,147.03,2008,2008,male,0.78,1.35
-41.14,147.03,2008,2008,male,0.80,1.39
-41.14,147.03,2008,2008,male,0.80,1.42
-41.14,147.03,2008,2008,male,0.84,1.47
-41.14,147.03,2008,2008,male,0.87,1.47
-41.14,147.03,2008,2008,male,0.80,1.42
-41.14,147.03,2008,2008,male,0.78,1.40
-41.14,147.03,2008,2008,male,0.80,1.41
-41.14,147.03,2008,2008,male,0.78,1.48
-41.14,147.03,2008,2008,male,0.82,1.36
-41.14,147.03,2008,2008,male,0.87,1.43
-41.14,147.03,2008,2008,male,0.80,1.33
-41.14,147.03,2008,2008,male,0.80,1.43
-41.14,147.03,2008,2008,male,0.78,1.38
-41.14,147.03,2008,2008,male,0.76,1.34
-43.09,147.056,2008,2008,male,0.80,1.36
-43.09,147.056,2008,2008,male,0.80,1.45
-43.09,147.056,2008,2008,male,0.76,1.31
-43.09,147.056,2008,2008,male,0.78,1.43
-43.09,147.056,2008,2008,male,0.84,1.43
-43.09,147.056,2008,2008,male,0.78,1.42
-43.09,147.056,2008,2008,male,0.76,1.31
-43.09,147.056,2008,2008,male,0.82,1.45
-43.09,147.056,2008,2008,male,0.84,1.38
-43.09,147.056,2008,2008,male,0.80,1.42
-43.09,147.056,2008,2008,male,,
-43.09,147.056,2008,2008,male,0.78,1.38
-43.09,147.056,2008,2008,male,0.80,1.43
-43.09,147.056,2008,2008,male,0.78,1.39
-43.09,147.056,2008,2008,male,0.82,1.47
-43.09,147.056,2008,2008,male,0.84,1.50
-43.09,147.056,2008,2008,male,0.84,1.49
