Location,Latitude,Longitude,Species,Year_start,Year_end
Richmond_Range,-28.617,152.717,D._serrata,1992,1992
Richmond_Range,-28.650,152.650,D._serrata,1992,1992
Richmond_Range,-28.667,152.700,D._serrata,1992,1992
Richmond_Range,-28.800,152.733,D._serrata,1992,1992
Rockhampton,-23.401,150.488,D._serrata,Unknown,Unknown
Royal_National_Park,-34.150,151.033,D._serrata,1991,1991
Samford,-27.383,152.900,D._serrata,1952,1952
Sarina,-21.567,149.250,D._serrata,Unknown,Unknown
Sarina,-21.567,149.250,D._birchii,2002,2002
Seal_Rocks,-32.426,152.522,D._serrata,Unknown,Unknown
Shoalwater_Bay_MZ_Double_Mt,-22.283,150.150,D._serrata,Unknown,Unknown
Sydney_(Cheltenham),-33.750,151.083,D._serrata,1970,1973
Terrigal_(Willoughby_Road),-33.424,151.426,D._serrata,2000,2000
Terrigal_(Willoughby_Road),-33.424,151.426,D._serrata,2001,2001
Terrigal_(Willoughby_Road),-33.424,151.426,D._serrata,2002,2002
The_Crater_National_Park,-17.417,145.483,D._birchii,1993,1993
Townsville,-19.267,146.817,D._sp._cf._jambulina,1976,1976
Townsville,-19.267,146.817,D._serrata,1976,1976
Townsville,-19.267,146.817,D._kikkawai,1976,1976
Townsville,-19.267,146.817,D._birchii,1976,1976
Townsville,-19.371,146.704,D._serrata,2002,2002
Townsville,-19.371,146.704,D._bunnanda,2001,2001
Townsville,-19.371,146.704,D._birchii,2001,2001
Townsville,-19.371,146.704,D._birchii,2002,2002
Tullebudgera,-28.167,153.383,D._serrata,1953,1953
Weipa,-12.633,141.883,D._serrata,1998,1998
Wollongong,-34.400,150.883,D._serrata,Unknown,Unknown
Yeppoon,-22.820,150.659,D._sp._cf._jambulina,2001,2001
Yeppoon,-22.820,150.659,D._sp._cf._jambulina,2002,2002
Yeppoon,-22.820,150.659,D._serrata,2000,2000
Yeppoon,-22.820,150.659,D._serrata,2001,2001
Yeppoon,-22.820,150.659,D._serrata,2002,2002
Yeppoon,-22.820,150.659,D._birchii,2000,2000
Yeppoon,-22.820,150.659,D._birchii,2001,2001
Yeppoon,-22.820,150.659,D._birchii,2002,2002
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
