Population,Latitude,Longitude,Year_start,Year_end,Locus,2n,Allele1_fz,Allele2_fz,Allele3_fz,Allele4_fz,Allele5_fz
Cawdor,-34.100,150.667,1972,1996,Lap,40,0,1,0,,
Mildura,-34.217,142.150,1972,1996,Lap,0,,,,,
Cardross_598,-34.300,142.150,1972,1996,Lap,0,,,,,
Cardross_Reserve,-34.300,142.167,1972,1996,Lap,0,,,,,
Cardross_575,-34.317,142.133,1972,1996,Lap,0,,,,,
Cureton_Ave,-34.300,142.200,1972,1996,Lap,0,,,,,
Sunnycliffs_260,-34.317,142.183,1972,1996,Lap,0,,,,,
Sunnycliffs_270,-34.317,142.200,1972,1996,Lap,0,,,,,
Parafield,-34.800,138.650,1972,1996,Lap,0,,,,,
Pooraka,-34.817,138.117,1972,1996,Lap,0,,,,,
Wood_Wood,-35.117,143.350,1972,1996,Lap,0,,,,,
Dead_Horse_Lane,-35.367,143.550,1972,1996,Lap,0,,,,,
Bulla,-37.654,144.769,1972,1996,Lap,0,,,,,
