Population,Latitude,Longitude,Year_start,Year_end,Total_egg_count,Midpoint_of_egg_laying,Mean_egg_laying_rate_until_day98.5,Mean_egg_laying_rate_day98.5_to_end,Mean_egg_laying_rate_day98.5_to_day144,Mean_longevity_females,Mean_longevity_males,Mean_longevity_total,Total_longevity_Day8_to_end,Fitness
Coffs_Harbour,-30.27,153.12,2000,2000,195,89.564,0.081,2.042,1.852,59.706,61.235,60.471,80.260,61.920
Coffs_Harbour,-30.27,153.12,2000,2000,108,38.245,0.281,,,39.735,29.382,34.559,43.500,0.000
Coffs_Harbour,-30.27,153.12,2000,2000,341,50.073,0.471,0.000,1.417,51.941,77.824,64.882,70.629,8.160
Coffs_Harbour,-30.27,153.12,2000,2000,229,73.338,0.181,5.467,4.611,53.235,70.853,62.044,65.578,43.200
Coffs_Harbour,-30.27,153.12,2000,2000,343,49.029,0.390,0.375,0.563,56.412,102.294,79.353,95.179,5.760
Coffs_Harbour,-30.27,153.12,2000,2000,315,87.054,0.215,3.411,3.236,38.059,57.767,47.297,69.190,92.640
Coffs_Harbour,-30.27,153.12,2000,2000,622,80.584,0.535,4.146,4.065,47.353,66.265,56.809,67.804,163.440
Coffs_Harbour,-30.27,153.12,2000,2000,294,53.840,0.219,1.260,1.380,64.029,67.813,65.864,74.190,19.680
Melbourne,-37.75,144.96,2000,2000,701,95.290,0.182,5.736,5.445,70.618,72.971,71.794,86.000,285.720
Melbourne,-37.75,144.96,2000,2000,372,79.253,0.206,2.594,2.359,49.353,50.971,50.162,74.523,99.600
Melbourne,-37.75,144.96,2000,2000,1174,104.721,0.222,4.197,3.923,90.912,88.088,89.500,100.700,600.300
Melbourne,-37.75,144.96,2000,2000,542,84.318,0.361,5.240,4.880,56.000,66.471,61.235,81.300,142.080
Melbourne,-37.75,144.96,2000,2000,611,74.576,0.320,6.167,5.405,67.147,52.000,59.574,71.161,126.240
Melbourne,-37.75,144.96,2000,2000,217,38.710,0.182,0.000,0.000,71.147,89.031,79.818,84.613,0.000
Melbourne,-37.75,144.96,2000,2000,927,71.285,0.451,1.947,1.879,78.206,65.735,71.971,73.985,203.880
Melbourne,-37.75,144.96,2000,2000,711,72.387,0.532,7.600,7.182,62.559,70.294,66.426,79.482,154.560
